"label","Wikipage page ID"
"Alsace de Bagnolet","46242506"
"Apollon 1960 Krya Vrysi F.C.","47996161"
"Apollon Lympion","47909555"
"Argentina Super Rugby","46436444"
"Arizona Bowl","48007276"
"Asociación Española de Rugby League",""
"Atlanta Vultures","47997296"
"Atlético Madrid (youth)","46987409"
"Aurul Brad",""
"Australia national junior handball team","47833993"
"Azarakhsh Bandar Abbas FSC","45654897"
"BC Caspiy Aktau","47356289"
"Basketbalový klub Dukla Praha","46254953"
"BC Lietkabelis-2","47736038"
"BC Nokia","47661473"
"Basketbol'nyj klub Novosibirsk","46380793"
"BC Trakai",""
"BC Vytis",""
"Zorg en Zekerheid Leiden","46279016"
"БТА Футзал",""
