"file","size","date/time","artist","title","year","album","comment","length","bi..","c..","s.."
"noctuary_cloudsdonningtheblacksky.mp","3.2","00.08.03 22:39:42","noctuary","clouds donning the black sky","2000","when fires breed blood","lost disciple recor","0:05:28","80","s","22"
"noctuary.mp3","1.2","03.10.06 12:59:04","NULL","NULL","NULL","NULL","NULL","0:01:15","128","s","44"
"noctuary-blackangelsreturn.mp3","3.2","03.06.30 23:12:37","noctuary","black angels return","NULL","where all agony prevails","NULL","0:03:25","128","s","44"
"noctuary-fromasheswerise.mp3","2.8","03.06.30 23:10:38","noctuary","from ashes we rise","NULL","when fires breed blood","NULL","0:02:55","128","s","44"
"noctuary-andhate.mp3","5.5","03.06.30 23:08:52","noctuary","...and hate encountered this n","NULL","when fires breed blood","NULL","0:05:47","128","s","44"
"noctuary-blackbleedingsoul.mp3","3.3","03.06.30 23:14:39","noctuary","black bleeding soul","NULL","title","NULL","0:03:32","128","s","44"
"noctuary-atearsdescent.mp3","4.9","03.10.20 05:03:22","noctuary","a tear's descent from heaven","NULL","when fires breed blood","NULL","0:05:08","128","s","44"
"noctuary-aviolentsolution.mp3","3.3","03.04.13 08:15:53","noctuary","track 01","NULL","promo2003","NULL","0:03:31","128","s","44"
"noctuary-lossandredemption.mp3","5.5","02.08.01 00:00:26","NULL","NULL","NULL","NULL","NULL","0:05:48","128","s","44"
"noctuary-reflections.mp3","4.2","02.07.31 23:00:46","NULL","NULL","NULL","NULL","NULL","0:04:24","128","s","44"
"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
