"label","Wikipage page ID","Wikipage revision ID"
"Wybrzeże Gdańsk","45646393","666127708"
"Belle Vue Aces","",""
"Hull Vikings","",""
"Workington Comets","",""
"Wembley Lions (speedway)","",""
"Hackney Kestrels","",""
"Rye House Cobras","",""
"Somerset Rebels","",""
"Walthamstow Wolves","",""
"Southampton Saints","",""
"Hastings Saxons","",""
"Scunthorpe Saints","",""
"CKM Włókniarz Częstochowa","",""
"Dackarna Målilla","",""
"Redcar Cubs","",""
"Stal Gorzów Wielkopolski","",""
"Unia Leszno","",""
"Västervik Speedway","",""
"GKM Grudziądz","",""
"Smederna Eskilstuna","",""
