"country","registred players","registred players","registred players","registred players","referees","referees","rinks","rinks","participation","population"
"","total","senior","u20","female","male","female","in-  door","out-  door","(2011)","&nbsp;"
"andorra","56","23","24","9","0","0","1","0","NULL","84825"
"argentina","966","690","130","146","25","4","0","1","NULL","41769726"
"armenia","578","381","197","0","27","0","2","3","NULL","2967975"
"australia","3188","1752","1121","315","253","30","21","0","wm ii wm20 iiwm18 iii ww iii","21766711"
"austria","10489","5179","4724","586","413","22","45","72","wm wm20 i wm18 iiww i ww18 i","8217280"
"belarus","4374","910","3430","34","128","0","28","3","wm wm20 i wm18 i","9577552"
"belgium","1157","359","798","0","234","0","15","1","wm ii wm20 iiwm18 ii ww iii","10431477"
"bosnia & herzegovina","208","42","162","4","5","0","2","0","NULL","4622163"
"bulgaria","230","100","203","27","30","3","3","5","wm ii wm20 iiiwm18 iii ww v","7093635"
"canada","572411","18488","468096","85827","31572","1834","2486","5000","wm wm20 wm18ww ww18","34030589"
"china","613","119","311","183","63","32","41","12","wm ii wm20 iiwm18 ii ww i","1336718015"
"chinese taipei","848","142","630","76","71","7","2","10","wm20 iii wm18 iii","23071779"
"croatia","437","92","303","42","10","1","2","4","wm ii wm20 iwm18 ii ww iii","4483804"
"czech republic","100668","75671","22828","2169","3938","49","58","23","wm wm20 wm18ww ii ww18","10190213"
"denmark","4405","1764","2245","396","88","5","23","0","wm wm20 i wm18 iww ii","5529888"
"dpr korea","1130","210","470","450","25","5","3","21","wm ii* wm20 iiiww ii*","24457492"
"estonia","1510","442","946","92","142","12","6","15","wm i wm20 iiwm18 ii","1282963"
"finland","65251","25324","35167","4760","1743","52","246","30","wm wm20 wm18ww ww18","5259250"
"france","17381","6400","9767","1214","123","6","124","5","wm wm20 ii wm18 iww ii ww18 i","65312249"
"georgia","207","39","168","0","4","0","2","1","NULL","4585874"
"germany","28932","8224","18128","2580","1103","81","175","44","wm wm20 wm18ww i ww18","81471834"
"great britain","4901","1272","3153","476","266","5","46","0","wm i wm20 iwm18 i ww ii","62698362"
"greece","713","463","151","99","4","2","2","2","wm iii","10760136"
"hong kong","496","62","371","63","9","0","5","0","NULL","7122508"
"hungary","2087","184","1719","184","69","8","20","18","wm i wm20 iiwm18 i ww iii","9976062"
"iceland","606","58","464","84","22","3","3","0","wm ii wm20 iiwm18 iii ww iv","311058"
"india","724","400","285","39","10","0","4","8","NULL","1189172906"
"ireland","297","189","70","38","14","4","0","0","wm ii wm18 iiiww v","4670976"
"israel","500","120","380","28","6","0","2","0","wm iii wm18 iii","7473052"
"italy","6829","1838","4506","485","139","5","45","24","wm i wm20 iwm18 i ww ii","61016804"
"japan","20226","10315","7174","2737","584","44","99","25","wm i* wm20 i wm18 i* ww i* ww18","126475664"
"kazakhstan","3929","433","3369","127","34","4","14","2","wm i wm20 iwm18 i ww ww18 i","15522373"
"korea","1880","146","1618","116","35","4","37","4","wm i wm20 iiwm18 i ww iv","48754657"
"kuwait","229","61","83","85","1","1","2","0","NULL","2595628"
"kyrgyzstan","320","218","102","0","6","0","2","4","NULL","5587443"
"latvia","4424","2930","1417","77","149","28","17","0","wm wm20 i wm18 iww i","2204708"
"liechtenstein","79","69","10","0","0","0","0","0","NULL","35236"
"lithuania","547","137","410","0","19","1","5","1","wm i wm20 iwm18 ii","3535547"
"luxembourg","392","130","235","27","26","8","3","1","wm iii","503302"
"macau","106","28","63","15","0","0","2","0","NULL","573003"
"malaysia","154","73","64","45","1","0","1","0","NULL","28728607"
"mexico","1254","210","972","72","26","2","13","0","wm ii wm20 iiiwm18 iii","113724226"
"mongolia","1001","477","524","0","8","0","0","12","wm iii* wm18 iii*","3133318"
"morocco","117","63","43","11","3","0","1","0","NULL","31968361"
"namibia","438","104","215","119","47","10","3","2","NULL","2147585"
"netherlands","2485","1162","1141","182","58","8","26","4","wm i wm20 iiwm18 ii ww iii","16847007"
"new zealand","1205","593","437","163","110","6","6","3","wm ii wm20 iiiwm18 ii ww iv","4290347"
"norway","6177","1968","3709","500","143","14","41","3","wm wm20 wm18ww i ww18 i","4691849"
"poland","2292","465","1451","376","75","1","82","7","wm i wm20 iiwm18 i ww v","38441588"
"portugal","116","48","50","18","5","2","1","0","NULL","10760305"
"romania","994","171","756","67","50","5","8","15","wm ii wm20 iiwm18 ii ww iv","21904551"
"russia","63580","2050","61000","530","230","5","340","2000","wm wm20 wm18ww ww18 i","138739892"
"serbia","564","147","414","3","21","2","4","1","wm ii wm20 iiiwm18 ii","7310555"
"singapore","231","80","151","0","15","1","1","0","NULL","4740737"
"slovakia","8280","2072","5896","312","327","16","47","21","wm wm20 wm18ww ww18 i","5477038"
"slovenia","943","155","700","88","46","4","8","3","wm wm20 i wm18 iww iii","2000092"
"south africa","385","133","200","52","8","2","4","0","wm iii wm18 iiiww iv","49004031"
"spain","760","200","468","92","35","0","18","0","wm i wm20 iiwm18 ii ww v","46754784"
"sweden","62003","17875","41053","3075","2420","41","342","136","wm wm20 wm18ww ww18","9088728"
"switzerland","26166","11219","13775","1172","1079","43","158","29","wm wm20 wm18ww ww18","7639961"
"thailand","114","56","47","9","15","3","3","0","NULL","66720153"
"turkey","790","310","320","160","75","10","2","0","wm iii wm20 iiiwm18 iii ww v","78785548"
"ukraine","4500","901","3587","12","74","0","25","0","wm i wm20 iwm18 ii","45134707"
"united arab emirates","532","250","242","40","8","0","5","0","NULL","5148664"
"united states","500579","132866","302104","65609","25051","1274","1800","0","wm wm20 wm18ww ww18","313232044"
