"{Rhembo Clothing Company Offers: Personalize Tshirt Printing. Bulk Order accept. for as alow as P200 you can now have our own personalized shirt. Price depends on layout and tshirt orders....|Personalize Tshirt Design}","Clothing and Accessories","P 200.00"
"{Need sasalo ng suzuki skydrive white 25000 only..  10 months ko na nabayaran 2 years to pay 4218 ang monthly updated..  no defects..  w/ yss shocks angel eye 3 led park lights hazard head...|suzuki skydrive 125 white pasalo}","Motorcycles and Scooters","P 25000.00"
"{NO MINIMUM NUMBER OF BOTTLES REQUIRED    MEET UP (MUNISIPYO NG MANDALUYONG OR MEGAMALL OR EDSA CENTRAL OR ULTRA)     MINIMUM FOR MIT UPS (20 BOTTLES)    RETAIL...|GREEN BARLEY}","Vitamins and Supplements","P 150.00"
"{InFocus IN112  Unbelievable low price. Unbeatable value.  Not only is the InFocus IN112 one of the lowest cost projectors we offer but it has one of the longest-lasting lamps for incredibly...|Infocus IN112}","Projectors","P 24000.00"
"{FOR SALE: APEXi VAFC1   - complete and un cut harness   - still installed so you can see its working!   - save fuel! and tune your car on board!   - cheapest and most affordable way of...|apexi vafc1 vtec controller}","Accessories and Parts","P 8500.00"
"{House and lot located in Molave Highland  by aboitizland Consolacion Cebu   Property Description:   Lot Area: 147sqm  Floor Area: 120sqm more or less  Semi Furnished  2 storey   Proximity:   Near...|House and Lot in Molave Highland near SM 7M}","House and Lot Townhouses and Subdivisions","P 7000000.00"
"{STYLE DRIVER - YOS433  Price: 12000.00 Collection Fall/Winter 2009  Family Irony THE Chrono  Case Black N/A Stainless Steel  Dial Silver  Strap Black Rubber  Case Dimensions 47 mm wide (1.85 in) x...|swatch watch chronographs}","Jewelry and Watches","P 7000.00"
"{im selling pre set up  honda   xrm  110 2006 model  good running condition  complete papers with lto register  disbrake  color black with stripe dark green  stock machine  09157844096...|honda xrm 110}","Motorcycles and Scooters","P 27000.00"
"{Camella Homes Communities - House and Lots     Metro Manila - Philippines      Camella&#039;s focus is on building living communities that embody innovation...|Camella Homes Communities House and Lots Metro Manila}","House and Lot Townhouses and Subdivisions","P 3383296.00"
"{FOR SALE IS BRAND NEW DS  NIKE   JANOSKI  VENOMS  SIZE RUN: 9 - 12     CONTACT ME AT 09322511172 FOR MORE DETAILS.    MEET UPS AT TRINOMA OR SM NORTH|Nike Zoom Stefan Janoski SB Venoms Venordan Kobe Lebron}","Shoes and Footwear","P 5500.00"
"{We make and print Environmental Signage (Tarpaulin Panaflex) Full Digital Print (Flyers Posters Logo Brochures Calling Cards etc.) and Offsets (Folders Envelope Office Forms Sticker...|Graphics Designs and Printing}","Advertising","&nbsp;"
"{FOR SALE IPHONE4S 32GB WHITE  BRANDNEW  FACTORY UNLOCKED  FOR MORE INFO CALL ME UP  09108888999  09161060555|IPHONE4S}","Cellphone Cellular Mobile Phone and Smartphone","P 35000.00"
"{For more info you may call/text 4102844/09238939399    Feautures:    For use with your black-and-white laser printer   8.5-by-11-inch clear  transparency film    50 sheets in a package...|CG3300 3M Transparency Film}","Other Items","P 250.00"
"{FOR SALE IS MY GD HONDA FIT/JAZZ (i-dsi 1.3) CUSTOM REAR CHIN   1500 FIXED   09151816529   09324626315   NOTE: I ALWAYS REPLY THRU CHIKKA|GD Honda Fit rear chin}","Spoilers and Body Kits","P 1500.00"
"{Selling my ipad 2 wifi 16GB Complete      with     -box     -manual     -wall charger     -usb     with free     -smart cover back and front (blue)     -white...|Apple iPad 2 16GB wifi Complete with freebies}","Tablets","P 19000.00"
