"peak name","height m","height ft","mtn id"
"mount 10060","3066","10060","1565"
"mount 10240","3121","10240","1566"
"abby ridge","2484","8150","1274"
"mount aberdeen","3152","10342","1"
"abraham mountain","2940","9646","978"
"mount abruzzi","3267","10719","979"
"mount adam joachim","3094","10150","2"
"mount aeolus","2643","8672","3"
"afternoon peak","3148","10328","4"
"aiguille peak","2999","9840","5"
"akamina ridge","2575","8450","1297"
"mount alan campbell","3030","9941","980"
"mount alberta","3619","11874","6"
"mount alcantara","2840","9318","981"
"alcove mountain","2810","9220","7"
"mount alderson","2692","8832","8"
"mount alexandra","3388","11116","45"
"mount allan","2819","9249","46"
"allan peak","2911","9550","982"
"mount allen","3310","10860","47"
"mount allenby","2995","9827","48"
"allison peak","2643","8672","39"
"allsmoke mountain","2109","6920","40"
"alnus peak","2976","9764","41"
"alpland ridge","2240","7350","1409"
"amber mountain","2540","8334","42"
"ambler mountain","1905","6250","43"
"mount amery","3329","10922","44"
"amiskwi peak","2822","9259","983"
"mount amundsen","3150","10335","1014"
"anchorite mountain","2880","9450","1015"
"ancient wall the","2754","9036","15"
"anderson peak","2652","8701","49"
"mount andromache","2996","9830","1016"
"mount andromeda","3450","11319","50"
"andy good peak","2621","8600","24"
"angle peak","2910","9548","25"
"mount anne-alice","2941","9650","1573"
"anthozoan mountain","2695","8842","26"
"antler mountain","2557","8390","28"
"mount aosta","2994","9823","1017"
"apex mountain","3246","10650","29"
"apparition mountain","3002","9850","30"
"aquila mountain (alberta)","2825","9269","27"
"aquila mountain (bc)","2880","9450","239"
"arctomys peak","2793","9164","17"
"arcturus peak","2466","8091","18"
"ardennes peak","2255","7400","1368"
"arete peak","3063","10050","984"
"arete mountain","2990","9810","19"
"mount arethusa","2912","9554","20"
"aries peak","2996","9830","21"
"mount armstrong","2823","9262","22"
"arras mountain","3090","10138","985"
"arris mountain","2705","8875","23"
"ashlar ridge","2620","8596","1402"
"mount assiniboine","3618","11871","9"
"association peak","2362","7750","10"
"mount astley","2869","9413","244"
"mount athabasca","3491","11454","11"
"mount augusta","3287","10785","986"
"aurora mountain","2789","9151","12"
"mount avens","2970","9745","13"
"avion ridge","2437","7996","14"
"awasis mountain","2697","8850","1454"
"aye mountain","3243","10640","16"
"ayesha peak","3065","10056","987"
"mount aylmer","3162","10375","83"
"mount aztec","3124","10250","1376"
"tower of babel","2310","7579","896"
"mount babel","3101","10174","84"
"mount back","3009","9874","1512"
"mount backus","1815","5955","85"
"mount bagg","2384","7823","1424"
"mount baker","3172","10407","86"
"mount balcarres","2897","9505","87"
"mount baldy","2192","7192","88"
"baldy mountain","2042","6700","1552"
"mount balfour","3272","10735","89"
"mount balinhard","3130","10270","101"
