"Room Type","Low Season1&nbsp;Nov&nbsp;2010&nbsp;-&nbsp;19&nbsp;Dec&nbsp;201011&nbsp;Jan&nbsp;2011&nbsp;-&nbsp;30&nbsp;Apr&nbsp;2011","High Season20&nbsp;Dec&nbsp;2010&nbsp;-&nbsp;10&nbsp;Jan&nbsp;2011","Extra bed"
"&nbsp;&nbsp;Fan Garden Standard","950","1000","0"
"&nbsp;&nbsp;Fan Garden Deluxe","1250","1350","0"
"&nbsp;&nbsp;Garden Viwe Deluxe","2850","3250","0"
"&nbsp;&nbsp;Beach Front Deluxe","2950","3350","0"
"&nbsp;&nbsp;Superior","2450","2650","0"
"&nbsp;&nbsp;Superior Deluxe","2650","2850","0"
"&nbsp;&nbsp;Chukit Deluxe","2750","2950","0"
"&nbsp;&nbsp;Chukit Family Deluxe 4 pax","4200","5300","0"
"&nbsp;&nbsp;Chukit Family Superior Deluxe for 4 paxs.","4500","5500","0"
"&nbsp;&nbsp;Chukit Family Superior Deluxe for 6 pax","5900","6450","0"
