"Wikipage page ID","Wikipage revision ID","label"
"47350159","673250637","The Action Bible"
"","","Alec the Great"
"1872554","648911974","Backbench (comics)"
"","","Close to Home (comic strip)"
"","","Conrad (comic strip)"
"","","Dumb Dora"
"","","Kelly & Duke"
"","","Kid Chameleon (comics)"
"","","Nero and Zero"
"","","Real Life Adventures"
"","","Rusty Brown"
"","","Pluggers"
"36627818","680550729","Tiny Tim (comic strip)"
"","","Amy (comic strip)"
"","","Goops"
"","","Beelzebub Jones"
"","","Joker (comic strip)"
"12084761","456696854","Matrona (Pugad Baboy)"
