"Wikipage revision ID","label","Wikipage page ID"
"682221942","Press Cuttings","45449964"
"672632261","Snake in the Grass","22091113"
"","The Philadelphia Story (play)",""
"619859655","The Tropicana Holiday","36007402"
"","Whose Life Is It Anyway? (play)","2713891"
"","ثم لم يبق منهم أحد (مسرحية)",""
"","Everyone (play)",""
"","No-No Boy (play)",""
"","Panique au Plazza",""
"","Perfect Crime (play)",""
"","Picasso at the Lapin Agile",""
"","Les Innocents (Archibald)",""
"","A Black Mass",""
"","ادعاء المتهم (مسرحية)",""
"","Andromache (play)",""
"","Critic's Choice (play)",""
"683192170","Dracula (1977 play)","38748226"
"634363552","Dracula (1995 play)","17279224"
"680973559","Dracula (1996 play)","17278391"
"","Frozen (play)",""
