"Program","Tuition &amp; Fees","Housing","Meals","Total CETPrice"
"Beijing January Term","$3300","$565","$85","$3950"
"Beijing Spring or Fall","$10100","$1840","$250","$12190"
"Beijing Summer","$5390","$1060","$140","$6590"
"Chinese Studies Spring or Fall","$11665","$2325","NA","$13990"
"Chinese Studies Summer","$5965","$1025","NA","$6990"
"Harbin Spring or Fall","$11050","$1140","NA","$12190"
"Harbin Summer","$5710","$880","NA","$6590"
"Kunming Summer","$5160","$1230","NA","$6390"
"Shanghai Spring or Fall","$12200","$1790","NA","$13990"
"Shanghai Summer","$6425","$875","NA","$7300"
