"label","Wikipage revision ID","Link from a Wikipage to an external page","Wikipage page ID"
"Tulloch's Central Stores","671224434","http://www.homehardware.com.au/store/warwick","46754193"
"Turquel","662972532","http://www.turquel.freguesias.pt/","46739402"
"Tüllingen","677057151","http://www.loerrach.de/","46873445"
"Ucú (municipio)","675408910","http://www.yucatan.gob.mx/estado/municipios/31009a.htm#","46900952"
"Waldbahn Udimsky","","","46386164"
"Uherce Niezabitowskie","662306736","http://1ua.com.ua/c25056","46241747"
"United States Mission to the European Union","683596983","http://useu.usmission.gov","45668321"
"University Hospital of Northern British Columbia","675348382","http://www.northernhealth.ca/OurServices/Facilities.aspx?FacilityID=53","47308658"
"University Reformed Church (East Lansing, Michigan)","679635239","","46845292"
"University Teaching Department Ground","","","47697950"
"University of Copenhagen Geological Museum","","","46804694"
"University of Santo Tomas Hospital","","",""
"University of Tartu Sports Hall","680363733","","47774998"
"University of Texas at San Antonio Libraries (UTSA Libraries)","","",""
"Upper House, Melbourne","682618204","http://upperhouse.com.au/","46662395"
"Utica City School District","664604504","http://www.uticaschools.org/uticaschools","46432628"
"ВТБ Ледовый дворец","","",""
"Valravn (roller coaster)","682313332","https://valravn.cedarpoint.com","47766575"
"Vancouver Tool Library","","",""
"Verroli","680828402","http://www.comune.veroli.fr.it","47802988"
