"Geburtsdatum","Wikipage revision ID","Wikipage page ID","Geburtsort","birth place","label"
"1990-03-31","667480083","46363212","http://dbpedia.org/resource/Tbilisi","Tbilisi, Georgia","Catharsis (organization)"
"1966-09-14","","","http://dbpedia.org/resource/Sydney","http://dbpedia.org/resource/Sydney","Catherine West"
"1990-02-22","","","http://dbpedia.org/resource/Okinawa_Prefecture","Okinawa Prefecture, Japan","岸本セシル"
"","","","http://dbpedia.org/resource/California","","Cecy B"
"","","","http://dbpedia.org/resource/Chicago","http://dbpedia.org/resource/Chicago","Cedric Ford"
"","","46277662","","","Cedric Segeon"
"","","","","","Celeste Olalquiaga"
"","","","","","Chad Copelin"
"","","","","","Chanda Dancy"
"","","","","","Charles Agyin-Asare"
"1954-02-19","","","http://dbpedia.org/resource/Baltimore","http://dbpedia.org/resource/Baltimore","Charles Belfoure"
"","","","","","Charles J. Margiotti"
"","","","","Minneapolis-St. Paul, MN","Charles L. Munns"
"","","","http://dbpedia.org/resource/Ontario,_California","Ontario, California, U.S.","Charles Phoenix"
"1984-12-16","683900306","47045493","http://dbpedia.org/resource/New_York_City","New York City","Charles Ressler"
"","","","","","Charles Sipkins"
"","","","http://dbpedia.org/resource/Omaha,_Nebraska","http://dbpedia.org/resource/Omaha,_Nebraska","チャールズ・バカンティ"
"","683128465","47347004","","","Charlie Emery"
"","","","","","Charlie Wilson (Musiker)"
"1990-11-12","","","http://dbpedia.org/resource/Toronto","http://dbpedia.org/resource/Toronto","Charlotte Hegele"
