"Wikipage page ID","label","address","Wikipage revision ID"
"47976699","Ulger (theater)","Lenin st. 46","683561197"
"48010417","Whitlam Centre","","683785647"
"","","",""
"","Perth Entertainment Centre","",""
"","Adelphi Theatre","",""
"4052805","Agora Theatre and Ballroom","","683840915"
"","Bleecker Stadium","",""
"","Blossom Music Center","",""
"","Buck Shaw Stadium","",""
"","ArcLight Hollywood","",""
"","Arclight Theatre","",""
"38760228","Atrium Cinemas","","617742453"
"","Capitol Center for the Arts","",""
"","Carnegie Hall","",""
"","Cobo Center","",""
"","Colonial Theatre (Boston)","",""
"","Colorado Convention Center","",""
"","Black Hawk (nightclub)","",""
"","Copley Symphony Hall","",""
"38949722","Cox Stadium","","679512301"
