"date","preferred_species_name","common name","wra score","wra designation"
"7/2/2009","lepidium virginicum","virginia pepperweed","17","h (hpwra)"
"7/2/2009","fremontodendron californicum","flannelbush","3","l"
"7/2/2009","myrciaria cauliflora","jaboticaba","-2","l"
"7/2/2009","myrcianthes fragrans","simpson stopper","0","l"
"7/2/2009","melinis nerviglumis","pink crystals","7","h (hpwra)"
"7/2/2009","melaleuca bracteata","river tea-tree","10","h (hpwra)"
"7/2/2009","megaskepasma erythrochlamys","red cloak","-2","l"
"7/2/2009","petroselinum crispum","parsley","-1","l"
"7/2/2009","lupinus albifrons","silver lupine","5.5","evaluate"
"7/2/2009","phyllanthus acidus","gooseberry-tree","4","l"
"7/2/2009","lepidium africanum","african pepperwort","10","h (hpwra)"
"7/2/2009","lagerstroemia tomentosa","leza wood","-2","l"
"7/2/2009","kaempferia galanga","galanga","1","l"
"7/2/2009","jatropha podagrica","gout stalk","2","l"
"7/2/2009","jasminum polyanthum","winter jasmine","10","h (hpwra)"
"7/2/2009","verbesina encelioides","golden crown-beard","19","h (hpwra)"
"7/2/2009","macrotyloma axillare","perennial horsegram","10","h (hpwra)"
"7/2/2009","saritaea magnifica","glowvine","1","evaluate"
"7/2/2009","tradescantia spathacea","boat-lily","11","h (hpwra)"
"7/2/2009","tagetes minuta","aztec marigold","20","h (hpwra)"
"7/2/2009","syzygium polyanthum","indian bayleaf","7","h (hpwra)"
"7/2/2009","streptosolen jamesonii","marmalade bush","2","l"
"7/2/2009","sterculia foetida","java olive","3","l"
"7/2/2009","sterculia apetala","panama tree","4","evaluate"
"7/2/2009","persicaria chinensis","chinese knotweed","14","h (hpwra)"
"7/2/2009","silybum marianum","milk thistle","17.5","h (hpwra)"
"7/2/2009","festuca arundinacea","tall fescue","17.5","h (hpwra)"
"7/2/2009","sambucus mexicana","mexican elderberry","9","h (hpwra)"
"7/2/2009","rosa laevigata","cherokee rose","16","h (hpwra)"
"7/2/2009","pyrrosia piloselloides","dragons scale fern","6","h (hpwra)"
"7/2/2009","pseudogynoxys chenopodioides","mexican flame vine","7","h (hpwra)"
"7/2/2009","poa pratensis","kentucky bluegrass","14","h (hpwra)"
"7/2/2009","pilea cadierei","aluminum plant","-5","l"
"7/2/2009","sphagnum palustre","peat moss","12.5","h (hpwra)"
