"Wikipage page ID","formation","Wikipage revision ID","Link from a Wikipage to an external page","label"
"47676784","2009","680565441","http://www.ensser.org","European Network of Scientists for Social and Environmental Responsibility"
"47818335","","682465990","http://www.rugbyeurope.eu/","European Under-19 Rugby Union Championship"
"46958230","","675379064","","臺灣歐洲聯盟中心"
"","","","","Universidad Europea del Atlántico"
"47678126","2005","679102847","http://europeanvalues.net","European Values Think-Tank"
"46899176","","678178482","","Eurosport DK"
"46496544","","673380334","http://eurostop.com","Eurostop"
"","","","","Everdown"
"46403193","","673268221","http://www.everfest.com/","Everfest"
"47733851","","","","Everi Holdings"
"47913843","","","","Every Knee Shall Bow"
"47706561","","683387837","http://www.everyoneisdirty.com/","Everyone Is Dirty"
"","","","","Evian Christ"
"46863124","","675437394","http://www.evilbeaver.us","Evil Beaver"
"46355194","","681296998","http://www.exactEarth.com","ExactEarth"
"47732567","","","","Examu"
"46540635","","678252979","","Excellence Canada"
"46686575","","666663142","http://www.execulink.com","Execulink Telecom"
"47860163","","683879194","http://www.exergonix.com/","Exergonix, Inc."
"","","","","Experimental Television Center"
