"Wikipage page ID","Wikipage revision ID","label","Link from a Wikipage to an external page"
"46338327","677424395","CooperVision","http://coopervision.com"
"","","Copenhagen Business Academy",""
"47304692","673917357","Copperbelt Energy Corporation","http://cecinvestor.com/"
"46181120","679712612","Cornwall Super Cup","http://www.cornwall-rfu.org.uk/"
"46997094","667223912","Corporación Lindley",""
"","","Corpus Christi Catholic High School, Fulwood",""
"46328185","","Corrupt Leaders",""
"46889609","679827809","Cosmo Films",""
"46629579","682259084","Council on Business & Society","http://councilonbusinessandsociety.com/"
"47695180","681393915","Cox Automotive","http://www.coxautoinc.com"
"47667199","","Crandall High School (Texas)",""
"46295387","678781456","Crazy Monkey Studios","http://crazymonkeystudios.com/"
"46549052","661075338","Create (charity)","http://www.createarts.org.uk/"
"","","Creation Infoways Private Limited",""
"46903264","","Creative Market",""
"46509646","672297941","Credit Benchmark","http://creditbenchmark.org/"
"46422569","","Credit Savvy",""
"47011570","673509340","Creditbank","http://creditbank.com"
"","","Crimson Tide Sports Network",""
"47860579","683125071","Croma Security Solutions Group PLC","http://www.cssgplc.com"
