"NORTHERN HOSPITAL-SURRY CTY","PO BOX 1101 Mount Airy NC 27030","(336) 719-7000"
"LIFE WORKS HOSPITAL PROGRAM","612 MOCKSVILLE AVE FL 2 Salisbury NC 28144","(704) 638-1300"
"ROWAN REGIONAL MEDICAL CTR","612 MOCKSVILLE AVE Salisbury NC 28144","(704) 638-1000"
"US VETERANS MEDICAL CTR","1601 BRENNER AVE Salisbury NC 28144","(704) 638-9000"
"DAVIS MEDICAL CTR","PO BOX 1823 Statesville NC 28687","(704) 873-0281"
"IREDELL MEMORIAL HOSPITAL","PO BOX 1828 Statesville NC 28687","(704) 873-5661"
"Kindred Hospital","2401 Southside Blvd. Greensboro NC 27406","(336) 271-2800"
"US ARMY RESERVE HOSPITAL","7838 MCCLOUD RD Greensboro NC 27409","(336) 605-2910"
"WESLEY LONG COMMUNITY HOSPITAL","PO BOX 2747 Greensboro NC 27402","(336) 832-1000"
"WOMEN'S HOSPITAL OF GREENSBORO","801 GREEN VALLEY RD Greensboro NC 27408","(336) 832-6500"
"PATRICK COMMUNITY HOSPITAL SVC","18688 JEB STUART HWY Stuart VA 24171","(540) 694-8600"
"R J REYNOLDS-PATRICK HOSP INC","RR 2 BOX 71 Stuart VA 24171","(540) 694-3151"
"WILKES REGIONAL MEDICAL CTR","PO BOX 609 North Wilkesboro NC 28659","(336) 651-8100"
"LAKE NORMAN REGIONAL MED CTR","171 FAIRVIEW RD Mooresville NC 28117","(704) 660-4000"
"LAKE NORMAN REGIONAL MEDICAL","PO BOX 3250 Mooresville NC 28117","(704) 660-4480"
"RANDOLPH HOSPITAL","PO BOX 1048 Asheboro NC 27204","(336) 629-5151"
"RANDOLPH HOSPITAL INC","373 N FAYETTEVILLE ST Asheboro NC 27203","(336) 629-8828"
"MOREHEAD MEMORIAL HOSPITAL","117 E KINGS HWY Eden NC 27288","(336) 623-9711"
"ANNIE PENN HOSPITAL","618 S MAIN ST Reidsville NC 27320","(336) 634-1010"
"ALEXANDER COMMUNITY HOSPITAL","326 3RD ST SW Taylorsville NC 28681","(828) 635-4000"
"LAKE NORMAN REGIONAL MED CTR","171 FAIRVIEW RD Sherrills Ford NC 28673","(828) 478-3477"
"TWIN COUNTY REGIONAL HOSPITAL","PO BOX 67 Galax VA 24333","(540) 236-8181"
"ALLEGHANY MEMORIAL HOSPITAL","PO BOX 9 Sparta NC 28675","(336) 372-5511"
"NORTH EAST MEDICAL CTR","920 CHURCH ST N Concord NC 28025","(704) 783-1275"
"NORTHEAST MEDICAL CTR","920 CHURCH ST N Concord NC 28025","(704) 783-3000"
