"gaetana sterni","26","novembre"
"gaetano    catanoso","04","aprile"
"gaetano errico","29","ottobre"
"gaspare bertoni","12","giugno"
"geltrude    caterina comensoli","18","febbraio"
"gennaro maria    sarnelli","30","giugno"
"genoveffa    tortes morales","05","gennaio"
"geremia da    valacchia giovanni kostist","05","marzo"
"germ&aacute;n de    carcagente garrigues","09","agosto"
"germ&aacute;n gozalbo    andreu","22","settembre"
"germano per&eacute;z","23","luglio"
"ges&ugrave; hita miranda","25","settembre"
"giacinta marto","20","febbraio"
"giacinto    enrico maria cormier","17","dicembre"
"giacinto    serrano l&oacute;pez","25","novembre"
"giacomo alberione","26","novembre"
"giacomo    cusmano","14","marzo"
"giacomo    desiderio laval","09","settembre"
"giacomo gapp","13","agosto"
"giacomo kern","20","ottobre"
"giacomo kyushei    tomonaga","28","settembre"
"gianna beretta    molla","28","aprile"
"gil rodicio    rodicio","04","agosto"
"gildo irwa","18","settembre"
"giorgio haydock    e 84 compagni","04","maggio"
"giorgio    matulaitis-matulewicz","27","gennaio"
"giorgio preca","26","luglio"
"giosafata    michelina hord&aacute;shevska","25","marzo"
"giovanna    delanoue","17","agosto"
"giovanna jugan","29","agosto"
"giovanna maria    condesa lluch","16","gennaio"
"giovanni    adalberto balicki","15","marzo"
"giovanni    antonio farina","04","marzo"
"giovanni    battista e giacinto de los &aacute;ngeles","15","settembre"
"giovanni    battista mazzucconi","07","settembre"
"giovanni    battista piamarta","25","aprile"
"giovanni    battista scalabrini","01","giugno"
"giovanni    battista souzy","27","agosto"
"giovanni    bernardo rousseau","13","aprile"
"giovanni beyzym","02","ottobre"
"giovanni    calabria","04","dicembre"
"giovanni da    dukla","29","settembre"
"giovanni da    fiesole beato angelico","18","febbraio"
"giovanni del    castillo","16","novembre"
"giovanni duns    scoto","08","novembre"
"giovanni    gabriele perboyre","11","settembre"
"giovanni maria boccardo","30","dicembre"
"giovanni maria    della croce","23","agosto"
"giovanni    nepomuceno chrzan","01","luglio"
"giovanni    nepomuceno de tschiderer","03","dicembre"
"giovanni    nepomuceno zegr&iacute; y moreno","17","marzo"
"giovanni pietro bengoa","25","settembre"
"giovanni    sarkander","17","marzo"
"giovanni xxiii","03","giugno"
"giovanni    martire di tlaxcala","23","settembre"
"giulia nemesia    valle","18","dicembre"
"giulia    rodzi&#324;ska","20","febbraio"
"giulia salzano","17","maggio"
"giuliano    benigno moreno","25","luglio"
"giulio mediavilla","23","luglio"
"giuseppe    allamano","16","febbraio"
"giuseppe    aparicio sanz","29","dicembre"
"giuseppe baldo","24","ottobre"
"giuseppe    benedetto dusmet","04","aprile"
"giuseppe    bilczewski","20","marzo"
"giuseppe    calasanz marqu&eacute;s","29","luglio"
"giuseppe cebula","28","aprile"
"giuseppe    czempiel","19","maggio"
"giuseppe de    anchieta","09","giuno"
"giuseppe estalayo","23","luglio"
"giuseppe    g&eacute;rard","29","maggio"
"giuseppe    jankowski","16","ottobre"
"giuseppe    kowalski","04","luglio"
"giuseppe    kurzawa","23","maggio"
"giuseppe kut","18","settembre"
"giuseppe    manyanet","17","dicembre"
"giuseppe    marello","30","maggio"
"giuseppe maria    de yermo y parres","20","settembre"
"giuseppe  m. ruiz","23","luglio"
"giuseppe maria    rubio y peralta","02","maggio"
"giuseppe maria    tomasi","01","gennaio"
"giuseppe    moscati","12","aprile"
"giuseppe    nascimbeni","21","gennaio"
"giuseppe os&eacute;s","23","luglio"
"giuseppe    pawlowski","09","gennaio"
"giuseppe rada","25","luglio"
"giuseppe    riccardo d&iacute;ez","25","luglio"
"giuseppe    sebastiano pelczar","28","marzo"
"giuseppe stanek","23","settembre"
"giuseppe    straszewski","12","agosto"
"giuseppe tovini","16","gennaio"
"giuseppe vaz","16","gennaio"
"giuseppe    zap&#322;ata","19","febbraio"
"giuseppina    bakhita","08","febbraio"
"giuseppina    gabriella bonino","08","febbraio"
"giuseppina    vannini giuditta","23","febbraio"
"giustiniano cuesta","23","luglio"
"gonzalo vi&ntilde;es    masip","10","dicembre"
"gregorio    fr&#261;ckow&igrave;ak","05","maggio"
"grimoaldo    della purific. santamaria ferdinando","18","novembre"
"guglielmo apor","02","aprile"
"guglielmo    giuseppe chaminade","22","gennaio"
"guglielmo    repin e 98 compagni","01","febbraio"
"guido maria    conforti","05","novembre"
"gumersindo soto    barros","29","luglio"
