"label","Wikipage revision ID","Link from a Wikipage to an external page","Wikipage page ID"
"Florida breaks","683163973","https://sellfy.com/trueskoolmusic","1085326"
"Footwork (Chicago)","676049735","","30638059"
"Frequent-flyer program","","",""
"Full motion video","672835228","http://www.fmvworld.com/games.html","420534"
"Ghettotech","","",""
"Home theater PC","","",""
"Homebrewing","683522915","","146918"
"ハウス (ダンス)","675970559","http://juste-debout.com/","10319827"
"IRCd","","",""
"Image stitching","","",""
"Indoor positioning system","","","13431137"
"Input method","","",""
"Inspirational fiction","","",""
"Installable File System","","",""
"Interactive movie","","",""
"ジャム・バンド","","",""
"Langgam jawa","612034104","","5776986"
"Locking (dance)","682186452","http://www.lockerlegends.net/","3982406"
"Longitudinal study","","",""
"مارش (موسيقى)","683376746","http://www.broekmans.com/nl/product_details.cfm?ArtikelId=720270","4635444"
