"Age:","21",""
"Height:","5'5 - 5'9",""
"Weight:","100 - 115 lbs",""
"Build:","petite",""
"Hair:","long brown","long brown"
"Eye Color:","brown","brown"
"Breast Size:","normal","normal"
"Sex Pref:","bisexual","bisexual"
"Ethnicity:","white","white"
"Language:","English","English"
"Profile:","looking for a pretty girl inside and out? don't seek further  i'm right here :o","looking for a pretty girl inside and out? don't seek further  i'm right here :o"
"Turn Ons:","i incredibly like cocks! big/medium/small  never mind - come into my private room and show yourself on cam2cam.","i incredibly like cocks! big/medium/small  never mind - come into my private room and show yourself on cam2cam."
"Turn Offs:","rude people turn me off. please be nice.","rude people turn me off. please be nice."
"NULL","SexySab Free Chat","SexySab Free Chat"
