"university name","university&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; location","university             type"
"abilene christian university","abilene (tx)","private"
"adelphi university","garden city (ny)","private"
"albany state university","albany (ga)","public"
"alcorn state university","alcorn state (ms)","public"
"american international college","springfield (ma)","private"
"anderson university","anderson (in)","private"
"andrews university","berrien springs (mi)","private"
"angelo state university","san angelo (tx)","public"
"arizona state university","tempe (az)","public"
"arkansas state university","state university (ar)&nbsp;&nbsp;&nbsp;&nbsp;","public"
"armstrong atlantic state university","savannah (ga)","public"
"ashland university","ashland (oh)","private"
"auburn university","auburn (al)","public"
"auburn university - montgomery","montgomery (al)","public"
"augusta state university","augusta (ga)","public"
"augustana college","sioux falls (sd)","private"
"aurora university","aurora (il)","private"
"austin peay state university","clarksville (tn)","public"
"azusa pacific university","azusa (ca)","private"
"baker university","baldwin city (ks)","private"
"ball state university","muncie (in)","public"
"barry university","miami shores (fl)","private"
"barton college","wilson (nc)","private"
"baylor university","waco (tx)","private"
"bellarmine university","louisville (ky)","private"
"belmont university","nashville (tn)","private"
"bethel university","saint paul (mn)","private"
"binghamton university","binghamton (ny)","public"
"biola university","la mirada (ca)","private"
"blessing-rieman college of nursing","quincy (il)","private"
"bloomsburg university","bloomsburg (pa)","public"
"boise state university","boise (id)","public"
"boston college","chestnut hill (ma)","private"
"bowie state university","bowie (md)","public"
"bowling green state university","bowling green (oh)","public"
"bradley university","peoria (il)","private"
"brenau university","gainesville (ga)","private"
"brigham young university","provo (ut)","private"
"brigham young university - idaho","rexburg (id)","private"
"california state university - bakersfield","bakersfield (ca)","public"
"california state university - chico","chico (ca)","public"
"california state university - dominguez hills","carson (ca)","public"
"california state university - fresno","fresno (ca)","public"
"california state university - fullerton","fullerton (ca)","public"
"california state university - long beach","long beach (ca)","public"
"california state university - los angeles","los angeles (ca)","public"
"california state university - sacramento","sacramento (ca)","public"
"california state university - san bernardino","san bernardino (ca)","public"
"california state university - stanislaus","turlock (ca)","public"
"calvin college","grand rapids (mi)","private"
"capital university","columbus (oh)","private"
"cardinal stritch university","milwaukee (wi)","private"
"carlow college","pittsburgh (pa)","private"
"carroll college","helena (mt)","private"
"case western reserve university","cleveland (oh)","private"
"castleton state college","castleton (vt)","public"
"catholic university of america the","washington d.c.","private"
"cedar crest college","allentown (pa)","private"
"cedarville university","cedarville (oh)","private"
"central connecticut state university","new britain (ct)","public"
"central missouri state university","warrensburg (mo)","public"
"clarion university","clarion (pa)","public"
"clarke college","dubuque (ia)","private"
"clarkson college","omaha (ne)","private"
"clemson university","clemson (sc)","public"
"cleveland state university","cleveland (oh)","public"
"college of mount st. joseph","cincinnati (oh)","private"
"college of new jersey the","ewing (nj)","public"
"college of new rochelle the","new rochelle (ny)","private"
"college of saint benedict   saint john's university","saint joseph (mn)","private"
"college of st. catherine","saint paul (mn)","private"
"college of st. scholastica the","duluth (mn)","private"
"college of staten island","staten island (ny)","public"
"colorado state university - pueblo","pueblo (co)","public"
"columbia university","new york (ny)","private"
"concordia college","moorhead (mn)","private"
"concordia university wisconsin","mequon (wi)","private"
"coppin state college","baltimore (md)","public"
"creighton university","omaha (ne)","private"
"delaware state university","dover (de)","public"
"delta state university","cleveland (ms)","public"
"depaul university","chicago (il)","private"
"dominican university of california","san rafael (ca)","private"
"drexel university","philadelphia (pa)","private"
"duke university","durham (nc)","private"
"duquesne university","pittsburgh (pa)","private"
"d'youville college","buffalo (ny)","private"
"east carolina university","greenville (nc)","public"
