"&nbsp;","latin","fran�ais","italien","anglais"
"175 (usurp. orient)","avidius cassius","avidius cassius","avidios cassios","avidius cassius"
"455/456","avitus (�parchius)","avitus","avito","avitus"
"238","balbinus (decimus caelius)","balbin","balbino","balbinus"
"475/476","{basilicus. aug.|�&nbsp;&nbsp;&nbsp; zenonida �pouse}","{basilicus|�&nbsp;&nbsp;&nbsp; z�nonide}","basilico","basilicus"
"280 (usurp germanie)","bonosus (gallus quintus)","bonose","bonoso","bonosus"
"37/41","caligula (gaius julius caesar germanicus) c: 35/37. aug. 37/41","caligula","caligola","caligula"
"211/217 &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","{caracalla (marcus aurelius antoninus)|c&nbsp;: 195/198 aug 198/217|�&nbsp;&nbsp;&nbsp; plautilla (publia fulvia) �pouse. aug 202/205}","{caracalla|�&nbsp;&nbsp;&nbsp; plautille}","caracalla","caracalla"
"286/293 (usurp g. bretagne gaulle)","carausius (marcus aur�lius valerius)","carausius","carausio","carausius"
"283/285&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","{carinus (marcus aurelius) c&nbsp;:282/283 aug. 283/285 fils de carus|�&nbsp;&nbsp;&nbsp;&nbsp; magnia urbica �pouse|�&nbsp;&nbsp;&nbsp;&nbsp; nigrinianus fils de carus}","{carin|�&nbsp;&nbsp;&nbsp; magnia urbica|�&nbsp;&nbsp;&nbsp; nigrinien}","carino","{carinus|&nbsp;}"
"282/283&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","carus (marcus aurelius). aug.","carus","caro","carus"
"41/54&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","{claudius i (tiberius drusus). aug.|�&nbsp;&nbsp;&nbsp; aggripina la jeune �pouse|�&nbsp;&nbsp;&nbsp; britannicus fils}","{claude i|�&nbsp;&nbsp;&nbsp; aggripine la jeune|�&nbsp;&nbsp;&nbsp; britannicus}","claudio i","claudius i"
"268/270&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","claudius ii gothicus (marcus aurelius valerius) aug.","claude ii �&nbsp;le gothique&nbsp;�","claudio �&nbsp;gottico&nbsp;�","claudius ii �&nbsp;gothicus&nbsp;�"
"193/197 (usurp)","clodius albinus (decinus septimius) c&nbsp;: 193/195. aug. 195/197","claude albin","clodio albino","clodins albinus"
"{180/192&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;|&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;}","{commodus (lucius aelius aurelius). c&nbsp;: 166-177. aug. 177-192|crispina (bruttia) �pouse.&nbsp; aug 177/183}","{commode|�&nbsp;&nbsp;&nbsp; crispine}","commodo","commodus"
"{337/350&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;|(emp. ouest)}","constans (flavius julius) c&nbsp;: 333/337 aug 337 350 fils de constantin i&nbsp; le grand","constant","costante","constans"
"408/411 (usurp.)","{constans. c&nbsp;: 408. aug&nbsp;: 409/411 fils de constantin iii|&nbsp;}","{constant|&nbsp;}","{costante|&nbsp;}","{constant|&nbsp;}"
"{306/337&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;|(emp. ouest)}","{constantinus i magnus (flavius valerius). c&nbsp;: 306/310. aug. 310/337|�&nbsp;&nbsp;&nbsp; fausta (flavia maxima). aug. 324/326 �pouse}","{constantin i|le grand|�&nbsp;&nbsp;&nbsp; fausta}","{constantino i|magno}","{constantine i|the �&nbsp;great&nbsp;�}"
"337/340&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","constantinus ii (flavius claudius julius). c&nbsp;: 316/337. aug 337/340 fils de constantin i le grand.","{constantin ii|le jeune}","constantino ii","constantine ii"
"407/411 (usurp. gaulle g. bretagne)","constantinus iii (flavius claudius)","constantin iii","costantino iii","constantine iii"
"{351/354&nbsp; &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;|(syrie)}","constantius gallus (flavius claudius gallus). c&nbsp;: 351/354 petit fils de constance chlore","constance galle","costanzo gallo","constantius gallus"
"{305/306|(emp.ouest)}","{constantius i �&nbsp;chlorus&nbsp;� (flavius valerius). c&nbsp;: 293/305 aug. 305/306|�&nbsp; helena (flavia julia). aug. 324/330 �pouse|�&nbsp; theodora (flavia maxima) aug. (postume) 2e �pouse}","{constance chlore|�&nbsp;&nbsp;&nbsp; helene|�&nbsp;&nbsp;&nbsp; theodora}","{constanzo i|�&nbsp;claro&nbsp;�}","{constantius i|�&nbsp;chlorus&nbsp;�}"
"{337/361 &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;|(emp. est)}","constantius ii (flavius julius valerius). c&nbsp;: 324/337 aug 337/361 fils de constantin i le grand","constance ii","costanzo ii","constantius ii"
"421 (usurp)","constantius iii (flavius). aug. beau-fr�re d�honorin","constance iii","costanzo iii","constantius iii"
"{316/326&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;|(emp. ouest)}","crispus (flavius julius). c&nbsp;: 316/326","crispus","crispo","crispus"
"260 (usurp. syrie)","cyriades (meriades)","cyriade","ciriado","cyriades"
"{350/353|(usurp. gaulle)}","decentius (flavius magnus). c&nbsp;: 350/353 fr�re de magnentius","d�cente","decenzio","decentius"
"335/337&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","delmatius (flavius julius) neveu de constantin i","delmace","delmazio","delmatius"
"218","diadumenianus&nbsp; (marcus aur�lius antoninus). c: 217/218 aug. 218.","diadum�nien","diadumenianio","diadumenian"
"193","{didius julianus (marcus verus). aug.|�&nbsp;&nbsp;&nbsp;&nbsp; maulia scantilla �pouse|�&nbsp;&nbsp;&nbsp;&nbsp; didia clara fille}","{didie julien|�&nbsp;&nbsp;&nbsp; manlia scantilla|�&nbsp;&nbsp;&nbsp; clara didie}","didio guliano","didus julianus"
"{284/285 &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;|(emp. est)&nbsp;}","diocletianus (gaius aurelius valerius) aug.","diocl�tien","diocleziano","diocletian"
"81/96&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","{domitianus (titus flavius). c&nbsp;:69/81. aug 81/96|�&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; domitia �pouse}","{domitien|�&nbsp; domitienne}","domiziano","domitian"
"272 (usurp gaulle)","domitianus ii","domitien ii","domitiano ii","domitian ii"
"308/311 (ursurp)","domitius alexander","domitien alexandre","domitiano alessandro","domitius alexander"
"296/298 (usurp �gypte)","domitius domitianus (lucius)","domitien domitianus","{domizio|domiziano}","{domitius|domitianus}"
"{218/222&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;|&nbsp;|&nbsp;|&nbsp;|&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;}","{elagabalus (marcus aurelius antoninus). aug.|�&nbsp;&nbsp;&nbsp; julia paola 1ere �pouse|�&nbsp;&nbsp;&nbsp; aquilia severa 2e �pouse|�&nbsp;&nbsp;&nbsp; annia faustina 3e �pouse|�&nbsp;&nbsp;&nbsp; julia soemias m�re. aug 218/222|�&nbsp;&nbsp;&nbsp; julia mesa grand-m�re}","{elagabale (h�logabale)|�&nbsp;&nbsp;&nbsp; julie paula|�&nbsp;&nbsp;&nbsp; aquilia severa|�&nbsp;&nbsp;&nbsp; annie faustine|�&nbsp;&nbsp;&nbsp; julie soemias|�&nbsp;&nbsp;&nbsp; julie m�sa}","eliogabalo","elagabalus"
"{392/394|(usurp. emp. ouest)}","eugenius (flavius)","eug�ne","eugenio","eugenius"
"387/388 (ursurp. emp. ouest)","flavius victor (flavius). aug. fils de maxime le grand","flavien victor","flavio vittoro","flavius victor"
"276","florianus (marcus aunius)","florien","floriano","florianus"
"68/69","galba (servius sulpicius). aug.","galba","galba","galba"
"{305/311 &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;|(emp. est)}","{galerius (gaius valerius maximianus). c&nbsp;: 293/305 aug. 305/311|�&nbsp;&nbsp;&nbsp;&nbsp; valeria (galeria). aug. 291/344 2e �pouse}","{galere|�&nbsp;&nbsp;&nbsp; valerie}","{galerio|massimiano}","{galerius|&nbsp;}"
"{253/268&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;|(co-emp)&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;}","{gallienus (publius licinius egnatius). aug.|�&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; salonina (julia cornelia crysogona) �pouse. aug. 254/258}","{gallien|�&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; salonine}","galliano","gallienus"
"14/19&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","{germanicus (julius caesar) n.d.: 15 av./19 ap. neveu de tib�re fils de n.c. drusus. c&nbsp;: 4/19 ap.|�&nbsp;&nbsp;&nbsp; nero caesar (julius ceasar) n.d.: 7/31 fils de germanicus|�&nbsp;&nbsp;&nbsp; drusus caesar (julius caesar) n.d.: 8/33 fils de germanicus|�&nbsp;&nbsp;&nbsp; antonia �pouse de n.c. drusus|�&nbsp;&nbsp;&nbsp; agrippina l�a�n�e �pouse de germanicus|�&nbsp;&nbsp;&nbsp; n.c. drusus et drusus}","{germanicus|�&nbsp;&nbsp;&nbsp; n�ron c�sar|�&nbsp;&nbsp;&nbsp; drusus c�sar|�&nbsp;&nbsp;&nbsp; antonia|�&nbsp;&nbsp;&nbsp; aggripine l�a�n�e|&nbsp;}","germanico","germanicus"
"{211/212&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;|(co-emp)}","geta (lucius septimus). c&nbsp;: 198/209 aug. 202/211 fr�re de caracalla","g�ta","geta","geta"
"411/413 (usurp.)","{giovannus|�&nbsp;&nbsp;&nbsp;&nbsp; sebastianus fr�re}","{jovin|�&nbsp;&nbsp; sebastien}","giovino","{giovianius|giovianunius}"
"473","glycerius (flavius)","glycere","glicerio","glycerius"
"238 (usurp.)&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","gordinus i (marcus antonius&nbsp; sempronianus romanus) �&nbsp;africanus&nbsp;�","gordien i l�africain","{gordiano i|africano}","{gordian i|�&nbsp;african&nbsp;�}"
"238 (usurp.)","gordinus ii (marcus antonius&nbsp; sempronianus romanus) �&nbsp;africanus&nbsp;�","gordien ii l�africain","{gordiano ii|africano}","{gordian ii|�&nbsp;african&nbsp;�}"
"238/244&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","{gordinus iii (marcus antonius �&nbsp;pius&nbsp;�)|�&nbsp;&nbsp;&nbsp;&nbsp; tranquillina �pouse&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; *}","{gordien iii le pieux.|�&nbsp;&nbsp;&nbsp; tranquilline}","{gordiano iii|pio}","{gordian iii|�&nbsp;pius&nbsp;�}"
"407 (usurp. g. bretagne)","gratianus","gratien","graziano","gratianus"
"{367/383 &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;|(ursurp.emp. ouest)}","gratianus (flavius). aug. 367/383 fils de valentinien i","gratien","graziano","gratian"
"117/138&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","{hadrianus (publius aelius). aug.|�&nbsp;&nbsp;&nbsp;&nbsp; sabina �pouse. aug. 128/136}","{hadrien|�&nbsp;&nbsp;&nbsp; sabine|�&nbsp;&nbsp;&nbsp; a�lien}","adriano","hadrian"
"335/337&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","hannibalianus(flavius claudius). c&nbsp;: 335/337 neveu de constantin i","hanniballien","anniballiano","hanniballianus"
"251","herennius etruscus (quintus messius decius) c&nbsp;: 250/251 aug 251","herennius l��trusque","erarnio","herennius etruscus"
"393/424&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","{honorius (flavius). aug. fils de th�odose i|�&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; galla placidia �pouse}","{honorin|�&nbsp;&nbsp;&nbsp; galle placidie}","{onorio|&nbsp;}","honorius"
"251","hostilianus (gaius valens messius quintus) c&nbsp;: 250 aug 251","hostilien","ostiliano","hostilian"
"258 (usurp. �gypte)","ingenuus","ingenien","ingenio","ingenuus"
"474/475","jiulius nepos (flavius)","n�pos","guilio nepote","giulius nepos"
"{411/413|423/425 (usurp. italie gaulle espagne)}","johannes","jean","giovanni","john"
"248 (usurp. syrie)","jotapianus","jotapien","jotapiano","jotapianus"
"363/364&nbsp; &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","jovianus (flavius). aug&nbsp;&nbsp;","jovien","gioviano","jovian"
"284/285(usurp. hongrie)","julianus (marcus aurelius)","julien de pannonie","giuliano tirano","julian of pannonia"
"361/363","{julianus ii (flavius claudius). c&nbsp;: 355/360 aug&nbsp;: 360/363 petit-fils de constance chlore|�&nbsp;&nbsp;&nbsp; h�lena �pouse}","{julien ii l�apostat|�&nbsp;&nbsp;&nbsp; h�l�ne}","guliano ii apostato","julian ii the �&nbsp;apostate&nbsp;�"
"269 (usurp.)","laelianus (ulpius cornelienus)","l�lien","laeliano","laelianus"
"457/474","{leo i maximius (flavius valerius). aug.&nbsp;|�&nbsp;&nbsp;&nbsp; verina (aelia) �pouse}","{l�on i le grand|�&nbsp;&nbsp; verina}","leone magnio","leo i the great"
"473/474","leo ii (flavius) c: 473/474. aug. 474","l�on ii","leone ii","leo ii"
