"label","Name","abstract","Wikipage revision ID","field","Wikipage page ID"
"Coca-Cola treatment of phytobezoars","Phytobezoar","","676317845","","47233416"
"IgG4-related skin disease","IgG4-related skin disease","IgG4-related skin disease is the recommended name for skin manifestations in IgG4-related disease (IgG4-RD). Multiple different skin manifestations have been described.","678347134","http://dbpedia.org/resource/Dermatology","47483732"
"Nitrogen dioxide poisoning","","","","","47401261"
"Radial nerve dysfuction","","","680338484","","47398724"
"Smokeless tobacco keratosis","Smokeless tobacco keratosis","","676341727","http://dbpedia.org/resource/Oral_medicine","47538989"
"Tubulointerstitial nephritis and uveitis","Tubulointerstitial nephritis and uveitis","","681059583","","47163080"
"Breast atrophy","Breast atrophy","","682337104","","47359910"
"Chlorine gas poisoning","","","678679044","http://dbpedia.org/resource/Emergency_medicine","47349607"
"متلازمة هاريسون","","","673482407","","47364968"
"IgG4-related ophthalmic disease","IgG4-related ophthalmic disease","","676395798","http://dbpedia.org/resource/Ophthalmology","47370395"
"Inflammatory aortic aneurysm","Inflammatory aortic aneurysm","","673841180","","47368939"
"","","","","",""
"Mammoplasia","Mammoplasia","","681255892","","47353177"
"Pancreatic cyst","Pancreatic cyst","","683917203","http://dbpedia.org/resource/Gastroenterology","47991497"
