"label","Geburtsort"
"Justin Sampson","http://dbpedia.org/resource/Cobar"
"Karin Okolie","http://dbpedia.org/resource/Sofia"
"Kelvin van der Linde","http://dbpedia.org/resource/Johannesburg"
"Kent Farrington","http://dbpedia.org/resource/Chicago"
"Kevin Gleason","http://dbpedia.org/resource/United_States"
"Kittipong Wongma","http://dbpedia.org/resource/Surin_Province"
"Kombi Mandjang","http://dbpedia.org/resource/Cameroon_national_football_team"
"Kyriakos Andreopoulos","http://dbpedia.org/resource/Greece"
"Kévin Estre","http://dbpedia.org/resource/Lyon"
"Leonardo Da Silva Lopes","http://dbpedia.org/resource/Lisbon"
"Lewis Italiano","http://dbpedia.org/resource/Perth"
"Li Dongna","http://dbpedia.org/resource/Dalian"
"Elizabeth Hawker",""
"Lotta Wahlin","http://dbpedia.org/resource/Linköping"
"Louis Giordano",""
"Lucas Bjerregaard",""
