"Wikipage revision ID","label","Wikipage page ID","Link from a Wikipage to an external page"
"675347450","Harsul Central Jail","47401495",""
"679799943","Gefängnis Schrassig","47327270",""
"","Detroit House of Corrections","",""
"681717580","Wehrmacht prison Anklam","47761241",""
"","New Bilibid Prison","",""
"","Prisión de Spaç","",""
"","Stanley Prison","",""
"","California Institution for Men","",""
"","Clinton Correctional Facility","",""
"","Coxsackie Correctional Facility","",""
"","Chuckawalla Valley State Prison","",""
"","Correctional Training Facility","",""
"","Great Meadow Correctional Facility","",""
"","Unidad Eastham","",""
"","Northeastern Correctional Center","",""
"","Landsberg Prison","",""
