"Geburtsdatum","birth place","Geburtsort","label"
"1994","http://dbpedia.org/resource/Guatemala","http://dbpedia.org/resource/Guatemala","Jeimmy Aburto"
"1997-04-22","","http://dbpedia.org/resource/Arkansas","Jekalyn Carr"
"1983","Washington","http://dbpedia.org/resource/Oklahoma","Jen Vaughn"
"","Detroit, Michigan, United States","http://dbpedia.org/resource/Michigan","Jenean Hampton"
"1973-05-30","Mineola, NY, USA","http://dbpedia.org/resource/Mineola,_New_York","Jenna Busch"
"","http://dbpedia.org/resource/Philippines","http://dbpedia.org/resource/Philippines","Jennifer Paz"
"","","","Jennifer Percy"
"","Munich","http://dbpedia.org/resource/Munich","Jennifer Teege"
"","","http://dbpedia.org/resource/Honolulu","Jenny Lee Lindberg"
"","Adelaide, South Australia","http://dbpedia.org/resource/Adelaide","Jenny Leong"
"1970-07-19","http://dbpedia.org/resource/Miami_Beach,_Florida","http://dbpedia.org/resource/Miami_Beach,_Florida","Jeremy R. Haft"
"","http://dbpedia.org/resource/United_States","http://dbpedia.org/resource/United_States","ジャーモール・チャーロ"
"1963","","","Jerome Booth"
"","","http://dbpedia.org/resource/Nashville,_Tennessee","Jerry Roe"
"","","","Jess French"
"","","","Jesse Bruchac"
"","http://dbpedia.org/resource/Hollywood","http://dbpedia.org/resource/Hollywood","Jesse Petrilla"
"1992-08-05","http://dbpedia.org/resource/Heerlen","http://dbpedia.org/resource/Heerlen","Jessica Blaszka"
"1990-06-04","http://dbpedia.org/resource/Kinshasa","http://dbpedia.org/resource/Kinshasa","Jessica Bossekota"
"","http://dbpedia.org/resource/United_States","http://dbpedia.org/resource/United_States","Jessica Fitzwater"
