"Wikipage page ID","ceo","Wikipage revision ID","Link from a Wikipage to an external page","label"
"47943626","Gerald Martens","683602459","http://www.alpeadriacup.com/","Alpe Adria Cup"
"45706330","","667369559","","Federación de baloncesto austríaca"
"45706514","","666189273","http://www.basketball.az/","Azerbaijan Basketball Federation"
"46684714","","","","Ligue baltique féminine de basket-ball"
"45706597","","663312958","http://www.bbf.by/","Federación de baloncesto de Bielorrusia"
"45706719","","667366334","","Bulgarian Basketball Federation"
"47900198","","683970804","http://www.basketball.org.cy/","Cypriot Basketball Super Cup"
"45697093","","661278369","http://www.basket.ee/","Federazione cestistica dell'Estonia"
"45706816","","666111744","http://www.gbf.ge/","Georgian Basketball Federation"
"47829063","","682249828","http://www.basketbolli.com/sq/league/liga-ltagt-e-meshkujve","Kosovo Basketball First League"
"45630740","","665831512","http://www.basketbolli.com/sq/ipko-kupa-e-kosoves","Kosovo Cup (basketball)"
"45696971","","","","Federazione cestistica della Lettonia"
"47035277","","682919232","http://www.afrobasket.com/Libya/basketball.asp","Libyan Division I Basketball League"
"45706664","","651929787","http://www.basketbelgium.be/en/","Royal Belgian Basketball Federation"
"47393421","","674209790","http://www.visittrentino.it/it/articolo/dett/trentino-basket-cup","Trentino Basket Cup"
"46204038","","681931775","http://fbu.kiev.ua","Ukrainian Basketball Federation"
"","","","","Coppa di Cipro di pallacanestro maschile"
"47073293","","681256630","http://eastcoastbasketballleague.org","East Coast Basketball League"
"47549687","","676517686","http://www.mkl.lt/","Lietuvos moksleivių krepšinio lyga"
"47548980","","677959203","","Lithuanian Students Basketball League"
