"Date","Manga","Ch","Lang","Translator"
"May 27 2012","Hanamaru Youchien","Special : Volume 6 Special","","Eru13"
"May 26 2012","Otoshite Appli Girl","6","","Eru13"
"May 26 2012","Gintama","401","","Bomber..."
"May 26 2012","TOKYO DEPARTMENT...","Oneshot : Tokyo Department War Memoir","","Reith"
"May 26 2012","Majin Tantei...","7","","Reith"
"May 26 2012","Majin Tantei...","6","","Reith"
"May 26 2012","Kimi no iru Machi","175","","Fafa"
"May 26 2012","Pajama na Kanojo","13","","PROzess"
"May 26 2012","Gokukoku no...","15","","cookie_..."
"May 25 2012","JoJo&#039;s Bizarre...","12","","kewl0210"
