"Wikipage page ID","Wikipage revision ID","label","Link from a Wikipage to an external page"
"47704317","680275392","2005 Conference USA Men's Soccer Tournament","http://www.conferenceusa.com/sports/m-soccer/c-usa-m-soccer-body.html"
"","","2005 Regions Morgan Keegan Championships and the Cellular South Cup",""
"47709388","680277380","2006 Conference USA Men's Soccer Tournament","http://www.conferenceusa.com/sports/m-soccer/c-usa-m-soccer-body.html"
"","","2006 Toulon Tournament",""
"47709849","679478075","2007 Conference USA Men's Soccer Tournament","http://www.conferenceusa.com/sports/m-soccer/c-usa-m-soccer-body.html"
"","","2008 AFF女子選手権",""
"47709940","680281213","2008 Conference USA Men's Soccer Tournament","http://www.conferenceusa.com/sports/m-soccer/c-usa-m-soccer-body.html"
"46285335","670276742","2008 Croatian Football Cup Final",""
"46255028","653957753","Championnats d'Asie d'escrime 2009","http://www.asianfencing.com"
"47710001","680284928","2009 Conference USA Men's Soccer Tournament","http://www.conferenceusa.com/sports/m-soccer/c-usa-m-soccer-body.html"
"46285166","670276874","2009 Croatian Football Cup Final",""
"47710189","680392050","2010 Conference USA Men's Soccer Tournament","http://www.conferenceusa.com/sports/m-soccer/c-usa-m-soccer-body.html"
"47952501","683141494","2012 Deauville American Film Festival","http://www.festival-deauville.com"
"47710483","680402060","2013 Conference USA Men's Soccer Tournament","http://www.conferenceusa.com/sports/m-soccer/c-usa-m-soccer-body.html"
"47843118","683142616","2013 Deauville American Film Festival","http://www.festival-deauville.com"
"47710593","680436443","2014 Conference USA Men's Soccer Tournament","http://www.conferenceusa.com/sports/m-soccer/c-usa-m-soccer-body.html"
"47683110","683143093","2014 Deauville American Film Festival","http://www.festival-deauville.com"
"","","2014 EMF miniEURO",""
"46807300","672627523","2014–15 Hong Kong FA Cup Final","https://www.hkfa.com/en/leaguesp?type=2"
"46657699","681713849","2014–15 Hong Kong League Cup Final","https://www.hkfa.com/en/leaguesp?type=4"
