"label","Link from a Wikipage to an external page","Wikipage page ID","Wikipage revision ID"
"Commonground/MGS","http://commongroundmgs.com","46901730","673594487"
"Community Christian Academy (Stuart, FL)","","",""
"CommuterClub","https://www.commuterclub.co.uk/","47834421","682100251"
"Company Folders","","47303251","682485979"
"Compare.com","http://www.compare.com","46571231","682463947"
"Complykaro","http://www.complykaro.com/","47706859","679855016"
"Compromisu por Asturies","http://www.compromisu.com","46683667","666546987"
"Comverge","http://comverge.com","46636839","682278054"
"Conception Bay North Eastlink CeeBee Stars","","47715475","683403091"
"Conceyu Abiertu","http://www.conceyuabiertu.org","46617806","669915250"
"Concordia Healthcare","http://concordiarx.com/","46363976","683626960"
"Conduit (company)","http://www.conduit.com/","46637906","682317796"
"Conjunction Arts","http://conjunctionarts.org","46563439","666727610"
"Conrad Schools of Science","","",""
"Conservative Solutions Project","","47378890","676724147"
"Conservatorio Niccolò Piccinni","","",""
"Consorzio Trasporti Pubblici Insubria","http://www.ctpi.it","47809294","683329904"
"Contemporary Services Corporation","http://www.csc-usa.com","46812648","672697420"
"Convent of the Sacred Heart Elementary School","","46176067",""
"Conveyer (band)","","",""
