"NULL","NULL","GREAT PLAINS 3S-3000HDDrills2010Wamego Kansas&nbsp;United States","63684 NZD"
"NULL","NULL","NULL","NULL"
"NULL","NULL","GREAT PLAINS 2020PDrillsUnited States","28525 NZD"
"NULL","NULL","NULL","NULL"
"NULL","NULL","GREAT PLAINS 3000Drills2012United States","48824 NZD"
"NULL","NULL","NULL","NULL"
"NULL","NULL","GREAT PLAINS CTA4000Drills1999Garden City Kansas&nbsp;United States","59704 NZD"
"NULL","NULL","NULL","NULL"
"NULL","NULL","Great Plains GP 3020Drills1997United States","7629 NZD"
"NULL","NULL","NULL","NULL"
"NULL","NULL","Great Plains 3-S-40DrillsUnited States","29189 NZD"
"NULL","NULL","NULL","NULL"
"NULL","NULL","NULL","NULL"
"NULL","NULL","NULL","NULL"
"NULL","NULL","Great Plains ADC2250Drills1998United States","52407 NZD"
"NULL","NULL","NULL","NULL"
"NULL","NULL","Great Plains 3S 3000DrillsUnited States","33832 NZD"
"NULL","NULL","NULL","NULL"
"NULL","NULL","Great Plains 2SF24Drills1989Abilene Kansas&nbsp;United States","10282 NZD"
"NULL","NULL","NULL","NULL"
"NULL","NULL","NULL","NULL"
"NULL","NULL","NULL","NULL"
"NULL","NULL","Great Plains 605NTDrillsMcConnel SC&nbsp;United States","17115 NZD"
"NULL","NULL","NULL","NULL"
"NULL","NULL","Great Plains ADC2250Drills2009Rexburg Idaho&nbsp;United States","211083 NZD"
"NULL","NULL","NULL","NULL"
"NULL","NULL","Great Plains 1520PDrills2008Huntsville Alabama&nbsp;United States","18442 NZD"
"NULL","NULL","NULL","NULL"
"NULL","NULL","Great Plains NTA3510DrillsUnited States","102823 NZD"
"NULL","NULL","NULL","NULL"
"NULL","NULL","GREAT PLAINS 3S 4000Drills2007United States","64991 NZD"
"NULL","NULL","NULL","NULL"
"NULL","NULL","GREAT PLAINS 2N-3010-3610Drills2009United States","88229 NZD"
"NULL","NULL","NULL","NULL"
"NULL","NULL","GREAT PLAINS 2SF30DrillsUnited States","30515 NZD"
"NULL","NULL","NULL","NULL"
"NULL","NULL","GREAT PLAINS 3000-3P-4875Drills2012United States","48824 NZD"
"NULL","NULL","NULL","NULL"
"NULL","NULL","Great Plains 1500DrillsScottsboro Alabama&nbsp;United States","25872 NZD"
"NULL","NULL","NULL","NULL"
"NULL","NULL","GREAT PLAINS 3N4010DrillsUnited States","116091 NZD"
"NULL","NULL","NULL","NULL"
"NULL","NULL","GREAT PLAINS 3N3020PDrills2003Wabash Indiana&nbsp;United States","49090 NZD"
