"label"
"Interosseous cuneocuboid ligament"
"Interosseous intercarpal ligaments"
"Interosseous intercuneiform ligaments"
"Interosseous metatarsal ligaments"
"Palmar carpometacarpal ligaments"
"Palmar ulnocarpal ligament"
"Plantar cuboideonavicular ligament"
"Plantar cuneocuboid ligament"
"Plantar cuneonavicular ligaments"
"Plantar intercuneiform ligaments"
"Plantar tarsometatarsal ligaments"
"Superior ligament of epididymis"
"Acromioclavicular ligament"
"Palmar carpal ligament"
"Superior auricular ligament"
"Collateral ligaments of interphalangeal articulations of foot"
"Collateral ligaments of metatarsophalangeal articulations"
"Inferior extensor retinaculum of foot"
"Posterior longitudinal ligament"
"Lacunar ligament"
