"Wikipage page ID","label","Link from a Wikipage to an external page","Wikipage revision ID"
"46880482","AutoUncle","http://www.autouncle.com/","681218300"
"46434893","Autonomous Solutions","http://www.asirobots.com","665662692"
"46474258","Autosports India","http://www.autosportsindia.com/","682054319"
"47829655","Availity","http://www.availity.com/","683609982"
"46493387","Avery Biomedical Devices","http://averybiomedical.com","670181016"
"47884620","Avrett Free Ginsberg","http://afg1.com/","681536971"
"","Axact","",""
"47848393","B-Scada","http://www.scada.com/","683088959"
"46798991","BMV Group","http://www.bmv.com.mx","664018249"
"46492130","Bakers Dolphin","","683373962"
"47908891","Bakkafrost","http://bakkafrost.com/en/","683771759"
"47389211","Baku Business Factory","http://bbf.az/en/","679568549"
"46963389","Baltic Workboats","http://www.balticworkboats.ee","674654037"
"47300576","Banas Dairy","http://banasdairy.coop/","673225073"
"46216246","Banca Carime","","653344317"
"47303609","Bank Day","http://en.bank-day.ir/#","672658509"
"","Bank of India (Kenya)","",""
"46647530","Bank of the Ozarks","",""
"46971377","Banque Martin Maurel","http://martinmaurel.com","678059067"
"46243152","Bargain Buys","http://www.bargain-buys.com/","679233350"
