"Rank","Company","State","Industry","Revenue ($bil)","Employees"
"326","The Kraft Group","MA","Paper & Paper Products","1.50 2&nbsp;&nbsp;","5000"
"327","Pella","IA","General Building Materials","1.50 e&nbsp;&nbsp;","9800"
"328","Les Schwab Tire Centers","OR","Auto Parts Stores","1.48 e&nbsp;&nbsp;","7900"
"329","Dunavant Enterprises","TN","Farm Products","1.48 &nbsp;&nbsp;&nbsp;&nbsp;","3442"
"330","Brand Energy","GA","Oil & Gas Equipment & Services","1.48 1&nbsp;&nbsp;","12300"
"331","DPR Construction","CA","General Contractors","1.47 &nbsp;&nbsp;&nbsp;&nbsp;","2100"
"332","Michael Foods","MN","Dairy Products","1.47 &nbsp;&nbsp;&nbsp;&nbsp;","3759"
"333","Berwind","PA","Conglomerates","1.47 e&nbsp;&nbsp;","3565"
"334","Buffets","MN","Restaurants","1.46 1&nbsp;&nbsp;","32000"
"335","Personal Communications Devices","NY","Communication Equipment","1.45 e&nbsp;&nbsp;","260"
"336","Station Casinos","NV","Gaming Activities","1.45 &nbsp;&nbsp;&nbsp;&nbsp;","14500"
"337","Jones Day","OH","Business Services","1.44 e&nbsp;&nbsp;","4900"
"338","Gate Petroleum","FL","Grocery Stores","1.44 2&nbsp;&nbsp;","3500"
"339","Laureate Education","MD","Education & Training Services","1.42 e&nbsp;&nbsp;","28500"
"340","Barton Malow","MI","Heavy Construction","1.40 &nbsp;&nbsp;&nbsp;&nbsp;","1500"
"341","Micro Electronics","OH","Specialty Retail Other","1.40 e&nbsp;&nbsp;","2300"
"342","Landmark Media Group","VA","Publishing - Newspapers","1.40 e&nbsp;&nbsp;","7500"
"343","Estes Express Lines","VA","Trucking","1.40 &nbsp;&nbsp;&nbsp;&nbsp;","12374"
"344","Sidley Austin","IL","Business Services","1.39 e&nbsp;&nbsp;","4023"
"345","Freeman","TX","Business Services","1.38 &nbsp;&nbsp;&nbsp;&nbsp;","4200"
"346","White & Case","NY","Business Services","1.37 &nbsp;&nbsp;&nbsp;&nbsp;","4995"
"347","Dawn Food Products","MI","Confectioners","1.37 &nbsp;&nbsp;&nbsp;&nbsp;","3950"
"348","Wirtz","IL","Beverages - Wineries & Distillers","1.37 e&nbsp;&nbsp;","2700"
"349","MediaNews Group","CO","Publishing - Newspapers","1.36 e&nbsp;&nbsp;","12300"
"350","Printpack","GA","Packaging & Containers","1.36 &nbsp;&nbsp;&nbsp;&nbsp;","4483"
