"Wikipage page ID","Wikipage revision ID","label"
"46394619","681259622","Nemesis Games"
"46772079","","Networks and Heterogeneous Media"
"","","Neue Juristische Wochenschrift"
"47705153","","New Philosopher"
"47938811","","New York University Environmental Law Journal"
"45647515","","Newspaper Research Journal"
"","","Norwegian Journal of Geography"
"","","Norwegian Journal of Geology"
"","","Notes from the Internet Apocalypse"
"","","Notre temps (magazine français)"
"","","Nova Gente"
"47857446","681552831","Nutrition Journal"
"","","Nutrition Reviews"
"","","Objectif et action Mutualistes"
"","","Omaha Star"
"46604224","","Central European Journal of Chemistry"
"","","Open Geosciences"
"46644349","","Central European Journal of Physics"
"47032068","","Pain Medicine (journal)"
"46636517","661277550","Pakistan News Today"
