"label","Wikipage page ID","Wikipage revision ID"
"Barmera-Monash Football club","45668688","680950737"
"Loxton North Football Club","45660921","651448524"
"Neerim-Neerim South Football Club","46294357","658148664"
"Sale Football Club","45704257",""
"Waikerie Football Club","45668639","673933107"
"Warragul Industrials Football Club","46294190","666758409"
"Wodonga Saints Football Club","46904460","665864173"
"Bydgoszcz Wildcats","47202996","674534643"
"Barwon Football Club","47868332","681738380"
"Centrals Football Club","47915230","682969832"
"East Perth Football Club (1891)","47915134","682490058"
"Box Hill Hawks Football Club","",""
"Eastlake Football Club","",""
"Flying Boomerangs","",""
"Glenorchy Football Club","",""
"Hawthorn Football Club","",""
"Heidelberg Football Club","",""
"West Perth Football Club","",""
"Adelaide University Football Club","",""
"South Adelaide Football Club","",""
