"binding","health and beauty"
"brand","tree hut"
"ean","0075371003035"
"feature","smooth your skin with this rich exfoliating sugar scrubmade with natural shea nut oilvitamin c and other natural oils soften skincontains coconut and lime extracts"
"label","tree hut"
"manufacturer","tree hut"
"numberofitems","3"
"productgroup","beauty"
"publisher","tree hut"
"releasedate","2008-04-25"
"sku","ht668-m-149-2"
"studio","tree hut"
"title","tree hut shea sugar body scrub coconut lime 18-ounce jars (pack of 3)"
"upc","075371003035"
