"Assets","Dec 99","Dec 88","Dec 87"
"Current Assets","Current Assets","Current Assets","Current Assets"
"Cash","2.1","36.9","45.4"
"Net Receivables","267.3","--","--"
"Inventories","300.4","--","--"
"Other Current Assets","13.1","--","--"
"Total Current Assets","582.9","646.3","563.3"
"Net Fixed Assets","2045.7","--","--"
"Other Noncurrent Assets","140.6","--","--"
"Total Assets","2769.2","2670.5","2196.9"
"Liabilities","Dec 99","Dec 88","Dec 87"
"Current Liabilities","Current Liabilities","Current Liabilities","Current Liabilities"
"Accounts Payable","347.3","--","--"
"Short-Term Debt","49.6","--","--"
"Other Current Liabilities","26.9","--","--"
"Total Current Liabilities","423.7","440.1","296.3"
"Long-Term Debt","709.7","682.3","560.2"
"Other Noncurrent Liabilities","401.7","--","--"
"Total Liabilities","1535.1","--","--"
"Shareholder's Equity","Shareholder's Equity","Shareholder's Equity","Shareholder's Equity"
"Preferred Stock Equity","37.2","--","--"
"Common Stock Equity","1196.8","--","--"
"Total Equity","1234.0","944.7","827.2"
"Shares Outstanding (thou.)","41959.0","86.3","86.1"
