"nom(s) scientifique(s)","tropical","non tropical","commentaires"
"acacia acuminata","s/o","x","s/o"
"acacia adansonii","s/o","x","s/o"
"acacia aneura","s/o","x","s/o"
"acacia angico","s/o","x","s/o"
"acacia arabica","s/o","x","s/o"
"acacia bahamensis","s/o","x","s/o"
"acacia benthamii","s/o","x","s/o"
"acacia burkitii","s/o","x","s/o"
"acacia cambagei","s/o","x","s/o"
"acacia cebil","s/o","x","s/o"
"acacia coriacea","s/o","x","s/o"
"acacia daintreeana","s/o","x","s/o"
"acacia excelsa","s/o","x","s/o"
"acacia flava","x","s/o","s/o"
"acacia guachapele","x","s/o","s/o"
"acacia harpophylla","s/o","x","s/o"
"{acacia heterophylla|var.|latifolia}","s/o","x","s/o"
"acacia homalophylla","s/o","x","s/o"
"acacia kauaiensis","s/o","x","s/o"
"acacia koa","s/o","x","s/o"
"acacia latisiliqua","s/o","x","s/o"
"acacia lebbeck","s/o","x","s/o"
"acacia leucophylla","s/o","x","s/o"
"acacia macrophylla","s/o","x","s/o"
"acacia mangium","x","s/o","s/o"
"acacia melanoxylon","s/o","x","s/o"
"acacia microsperma","s/o","x","s/o"
"acacia nilotica","s/o","x","s/o"
"acacia omalophylla","s/o","x","s/o"
"acacia papyrocarpa","s/o","x","s/o"
"acacia pendula","s/o","x","s/o"
"acacia psilostachya","x","s/o","s/o"
"acacia salicina","s/o","x","s/o"
"acacia salix-tristis","s/o","x","s/o"
"acacia scorpioides","s/o","x","s/o"
"acacia sericophylla","s/o","x","s/o"
"acacia shirleyi","s/o","x","s/o"
"acacia sowdenii","s/o","x","s/o"
"acacia subalata","s/o","x","s/o"
"acacia tephrina","s/o","x","s/o"
"acacia varians","s/o","x","s/o"
"acacia vera","s/o","x","s/o"
"acacia xiphophylla","s/o","x","s/o"
"achantia altissima","x","s/o","s/o"
"achradelpha mammosa","s/o","x","s/o"
"achras mammosa","s/o","x","s/o"
"achras zapota","s/o","x","s/o"
"achras zapotilla","s/o","x","s/o"
"&#167; acinodendrontrichotomum","x","s/o","s/o"
"ackama australiensis","x","s/o","s/o"
"acosmium panamense","x","s/o","s/o"
"actinostrobus acuminatus","s/o","x","s/o"
"actinostrobus arenarius","s/o","x","s/o"
"actinostrobus pyramidalis","s/o","x","s/o"
"aextoxicon punctatum","s/o","x","s/o"
"afzelia attenuata","s/o","x","s/o"
"afzelia quanzensis","s/o","x","s/o"
"agathis australis","s/o","x","s/o"
"agathis borneensis","x","s/o","s/o"
"agathis macrophylla","x","s/o","s/o"
"agathis microstachya","x","s/o","s/o"
"agathis vitensis","x","s/o","s/o"
"albizia coriaria","x","s/o","s/o"
"albizia guachapele","x","s/o","s/o"
"albizia lebbeck","s/o","x","s/o"
"albizia longipedata","x","s/o","s/o"
"albizzia procera","s/o","x","s/o"
"alectryon oleifolius","s/o","x","s/o"
"alexa imperatricis","x","s/o","s/o"
"alexandra imperatricis","x","s/o","s/o"
"allocasuarina decussata","s/o","x","s/o"
