"label","Geburtsort","birth place"
"Eileen Dreyer","http://dbpedia.org/resource/St._Louis","http://dbpedia.org/resource/St._Louis"
"Eleanor Palmer","",""
"Elisa Pritzker","http://dbpedia.org/resource/Argentina","Argentina"
"Elisabeth Carron","",""
"Elisenda Fábregas","",""
"Elizabeth Barrett-Anderson","http://dbpedia.org/resource/Guam","http://dbpedia.org/resource/Guam"
"Elizabeth Sherwood-Randall","",""
"Elkhan Zeynalli","",""
"Ellie Drennan","",""
"Elly Griffiths","http://dbpedia.org/resource/London",""
"Elyson De Dios","http://dbpedia.org/resource/Cebu","http://dbpedia.org/resource/Cebu"
"Emha Ainun Nadjib","http://dbpedia.org/resource/East_Java","http://dbpedia.org/resource/East_Java"
"EmiSunshine","http://dbpedia.org/resource/Tennessee",""
"Emily Kai Bock","http://dbpedia.org/resource/Ontario","http://dbpedia.org/resource/Ontario"
