"name:","bps_loginpopup_welcome"
"datatype:","marketingcontent"
"activityidentifier uniqueid:","0"
"activityidentifier name:",""
"campaignname:",""
"activityformat:",""
"activitypriority:","1"
"url link:",""
"marketing text:","&lt;!--&lt;img align=&#034;right&#034; src=&#034;//media.basspro.com/images/bassproshopsheaderlogo2011-full.png&#034; border=&#034;0&#034;/&gt;--&gt; bass pro shops isn&#039;t just fishing. it is an outdoor retail leader in hunting camping nature gifts outdoor cooking and much more. take a look around we are sure you&#039;ll find something you want."
"location:",""
"format uniqueid:","2"
"format name:","text"
"content mime type:",""
"name:",""
"short description:",""
"image:",""
