"1","1","ostrich","struthio camelus","ostrich","struthio camelus","1"
"7","1","king penguin","aptenodytes patagonica","king penguin","aptenodytes patagonicus","2"
"7","3","gentoo penguin","pygoscelis papua","gentoo penguin","pygoscelis papua","926"
"7","9","rockhopper penguin","eudyptes crestatus","rockhopper penguin","eudyptes chrysocome","4"
"7","11","macaroni penguin","eudyptes chrysolophus","macaroni penguin","eudyptes chrysolophus","5"
"7","15","jackass penguin","spheniscus demersus","jackass penguin","spheniscus demersus","3"
"7","17","magellanic penguin","spheniscus magellanicus","magellanic penguin","spheniscus magellanicus","927"
"9","1","little grebe","tachybaptus ruficollis","dabchick","tachybaptus ruficollis","8"
"9","14","great crested grebe","podiceps cristatus","great crested grebe","podiceps cristatus","6"
"9","16","black-necked grebe","podiceps nigricollis","black-necked grebe","podiceps nigricollis","7"
"10","1","wandering albatross","diomedea exulans","wandering albatross","diomedea exulans","10"
"10","2","royal albatross","diomedea epomophora","royal albatross","diomedea epomophora","9"
"10","6","laysan albatross","diomedea immutabilis","laysan albatross","diomedea immutabilis","905"
"10","7","black-browed albatross","diomedea melanophrys","black-browed albatross","diomedea melanophris","12"
"10","8","buller's albatross","diomedea bulleri","buller's albatross","diomedea bulleri","928"
"10","9","shy albatross","diomedea cauta","shy albatross","diomedea cauta","11"
"10","10","yellow-nosed albatross","diomedea chlororhynchos","yellow-nosed albatross","diomedea chlororhynchos","14"
"10","11","grey-headed albatross","diomedea chrysostoma","grey-headed albatross","diomedea chrysostoma","13"
"10","13","sooty albatross","phoebetria fusca","dark-mantled sooty albatross","phoebetria fusca","15"
"10","14","light-mantled sooty albatross","phoebetria palpebrata","light-mantled sooty albatross","phoebetria palpebrata","16"
"11","1","giant petrel","macronectes giganteus","southern giant petrel","macronectes giganteus","17"
"11","2","hall's giant petrel","macronectes halli","northern giant petrel","macronectes halli","18"
"11","4","southern fulmar","fulmarus glacialoides","antarctic fulmar","fulmarus glacialoides","19"
"11","5","antarctic petrel","thalassoica antartica","antarctic petrel","thalassoica antartica","20"
"11","6","pintado petrel","daption capense","pintado petrel","daption capense","21"
"11","8","great-winged petrel","pterodroma macroptera","great-winged petrel","pterodroma macroptera","23"
"11","10","white-headed petrel","pterodroma lessonii","white-headed petrel","pterodroma lessonii","25"
"11","13","schlegel's petrel","pterodroma incerta","atlantic petrel","pterodroma incerta","26"
"11","18","kerguelen petrel","pterodroma brevirostris","kerguelen petrel","pterodroma brevirostris","27"
"11","23","soft-plumaged petrel","pterodroma mollis","soft-plumaged petrel","pterodroma mollis","24"
"11","36","blue petrel","halobaena caerulea","blue petrel","halobaena caerulea","28"
"11","37","broad-billed prion","pachyptila vittata","broad-billed prion","pachyptila vittata","29"
"11","38","salvin's prion","pachyptila salvini","salvin's prion","pachyptila salvini","931"
"11","39","dove prion","pachyptila desolata","antarctic prion","pachyptila desolata","930"
"11","40","slender-billed prion","pachyptila belcheri","slender-billed prion","pachyptila belcheri","30"
"11","41","fairy prion","pachyptila turtur","fairy prion","pachyptila turtur","31"
"11","43","bulwer's petrel","bulweria bulwerii","bulwer's petrel","bulweria bulwerii","22"
"11","44","juoanin's petrel","bulweria fallax","juoanin's petrel","bulweria fallax","929"
"11","45","brown petrel","procellaria cinerea","grey petrel","procellaria cinerea","33"
"11","46","white-chinned petrel","procellaria aequinoctialis (conspicillata)","spectacled petrel","procellaria conspicillata","932"
"11","46","white-chinned petrel","procellaria aequinoctialis","white-chinned petrel","procellaria aequinoctialis","32"
