"magyar","latin"
"ki","{ex|sicco}"
"ki hallott volna hektorról ha szerencsés lett volna trója?@ovidius","hectora quis nosset si felix troia fuisset?"
"{ki|ki}","alius alio"
"ki időt nyer életet nyer","qui habte tempus habet vitam"
"{ki|ki}","quis istic habet?"
"ki mint vet úgy arat","ut sementem feceris ita metes"
"ki mint vet úgy arat.@cicero","ut sementem feceris ita metes."
"ki nehéz sorsú katona lesz vagy pap","desperatio aut fecit militem aut monachus"
"{ki|ki}","inextricabilis"
"ki nem fejezheto","inedicibilis"
"ki nem fosztott","indireptus"
"ki nem fürkészett ismeretlen","inexploratus"
"ki nem kezdett","integer"
"ki nem kutatott ismeretlen bizonytalan","incompertus"
"ki nem menthető vissza nem utasítható","inexcusabilis"
"{ki|ki|ki}","inexhaustus"
"ki nem mondott nem említett","indictus"
"ki nem mért","immetatus"
"ki nem próbált érintetlen","intemptatus"
"{ki|ki}","inspoliatus"
"ki nem állhat","fastidio"
"ki van téve az ellenséges támadásnak","sub ictum datur"
"ki vhonnan","ex"
"ki vmibol","ex"
"ki(vül)-be(lül)","commeo"
"ki-be","commeo"
"{ki|ki}","sulum"
"{ki|ki}","faber est suae quisque fortunae"
"{ki|ki}","quisque suos patimur manes"
"{ki|ki}","quisque pro moribus"
"ki... el... előző... volt...","ex..."
"ki?","quis"
"ki? mi?","pron quis quid"
"kiabál","{adsumo (assumo) citatio dico advoco|clamo|clamo vociferor|fleo clamor quiritatio}"
"{ki|ki}","clamito"
"kiabál lármázik","clamorem effero"
