"label","Wikipage page ID","Wikipage revision ID"
"HD 87883","24389267","660104132"
"HR 297","46422280","678522389"
"H Scorpii","38556181","663716947"
"Iota Aquarii","",""
"Kepler-22","33966388","659661805"
"Omega2 Aquarii","4988616","649848312"
"UGPS 0722-05","26854177","682284407"
"UW Canis Majoris","",""
"Upsilon Aurigae","",""
"Zeta Aquilae","",""
"Sagitario A","",""
"BPM 37093","469673","674786970"
"Epsilon Sagittarii","",""
"Lambda Sagittarii","",""
"Lambda Ursae Majoris","",""
"Radio star","",""
"Winnecke 4","962130","665432045"
"107 Piscium","932773",""
"14 Herculis","997579",""
"36 Ophiuchi","935361","682395896"
