"Wikipage page ID","college","Wikipage revision ID","Link from a Wikipage to an external page","coach","label"
"8777431","http://dbpedia.org/resource/Arizona_Wildcats_football","635633174","http://www.pro-football-reference.com/teams/chi/1995.htm","http://dbpedia.org/resource/Dave_Wannstedt","1995 Chicago Bears season"
"19489878","","635261029","","http://dbpedia.org/resource/Mike_White_(American_football)","1996 Oakland Raiders season"
"15344979","","660688869","","http://dbpedia.org/resource/Kevin_Gilbride","1997 San Diego Chargers season"
"9409591","","682791201","http://www.pro-football-reference.com/boxscores/200011060gnb.htm","http://dbpedia.org/resource/Mike_Sherman","2000 Green Bay Packers season"
"6090474","","672026868","http://www.nfl.com/gamecenter/2005081202/2005/PRE1/seahawks@saints#tab=analyze&analyze=playbyplay","","2005 Seattle Seahawks season"
"12536374","","611599297","","http://dbpedia.org/resource/Marv_Levy","1978 Kansas City Chiefs season"
"33683476","","607486422","","http://dbpedia.org/resource/Sammy_Fox","1947 Ottawa Rough Riders season"
"31380746","","443570300","","http://dbpedia.org/resource/Frank_Clair","1958 Ottawa Rough Riders season"
"10360945","","650314982","","http://dbpedia.org/resource/Norm_Van_Brocklin","1966 Minnesota Vikings season"
"10361093","","650239902","http://www.pro-football-reference.com/teams/min/1968.htm","http://dbpedia.org/resource/Bud_Grant","1968 Minnesota Vikings season"
"18955331","","591636412","http://www.pro-football-reference.com/teams/mia/1993.htm?redir","","Miami Dolphins 1993"
"44765293","","663966700","http://www.arenafan.com/teams/?page=history&team=39&year=1994","http://dbpedia.org/resource/Don_Strock","1994 Massachusetts Marauders season"
"14610018","http://dbpedia.org/resource/Florida_A&M_Rattlers_football","630006952","","http://dbpedia.org/resource/Norv_Turner","1994 Washington Redskins season"
"42564486","","664439514","http://www.arenafan.com/teams/Orlando_Predators-13/history/2005/","http://dbpedia.org/resource/Jay_Gruden","2005 Orlando Predators season"
"34820050","","533938965","","Carl Allen","2008 Miami Valley Silverbacks season"
"30304515","","664262817","http://www.nfl.com/gamecenter/2011081252/2011/PRE1/dolphins@falcons","","2011 Atlanta Falcons season"
"44332278","","683742787","http://espn.go.com/blog/afcwest/category/_/name/denver-broncos","","Denver Broncos 2015"
"38881930","","653347713","","http://dbpedia.org/resource/Tom_Clancy_(Canadian_football)","1909 Ottawa Rough Riders season"
"35275707","","583946464","","http://dbpedia.org/resource/Ted_Guyer","1917 Rock Island Independents season"
"33670387","","459531224","","http://dbpedia.org/resource/Clem_Crowe","1953 Ottawa Rough Riders season"
