"animal","male","female","baby","group of animals","family"
"alligator","bull","cow","hatchling","congregation  pod (of young)","&nbsp;"
"antelope","buck","doe","calf","herd","&nbsp;"
"ape","male","female","baby","shrewdness","&nbsp;"
"armadillo","male","female","pup","-","&nbsp;"
"badger","boar","sow","kit  cub","cete","&nbsp;"
"bat","male","female","pup","colony","&nbsp;"
"bear","boar","sow","cub","sleuth  sloth","ursine"
"beaver","-","-","pup  kitten","colony","&nbsp;"
"bee","drone","queen  worker","larva","hive  swarm (in flight) bike drift grist","{&nbsp;|&nbsp;}"
"bird","cock","hen","hatchling  chick","dissimulation  (small birds only) fleet flight flock parcel pod volery","&nbsp;"
"bison buffalo","bull","cow","calf","gang  herd","bovine"
"boar","boar","sow","piglet  shoat farrow","singular  sounder","porcine"
"butterfly","male","female","caterpillar  larva pupa chrysalis","swarm  rabble (group of caterpillars is an army)","&nbsp;"
"camel","bull","cow","calf","flock","cameline"
"cat","tomcat","queen","kitten","clutter  clowder litter (young born to one female) kindle  (kittens)","{&nbsp;|feline}"
"cattle","bull","cow","calf","drift  drove herd mob","{&nbsp;|bovine}"
"cheetah","male","female","cub","coalition","{&nbsp;|feline}"
"chicken","rooster","hen","chick  pullet (young hen) cockrell (young rooster)","flock  brood (of hens) clutch (of chicks) peep (of chicks)","&nbsp;"
"clam","-","-","larva","bed","&nbsp;"
"cockroach","-","-","nymph","-","&nbsp;"
"codfish","-","-","codling  hake sprag sprat","school","&nbsp;"
"coyote","dog","bitch","pup  whelp","pack  rout","canine"
"crane","-","-","chick","herd  sedge siege","&nbsp;"
"crow","cock","hen","chick","murder  muster","crovine"
"deer","buck  stag","doe","fawn","herd  mob","{&nbsp;|cervine}"
"dinosaur","bull","cow","hatchling  juvenile","herd  (of plant-eaters) pack (of meat-eaters)","&nbsp;"
"dog","dog","bitch","pup","litter  (pups from one mother) pack (wild) kennel","{&nbsp;|canine}"
"dolphin","bull","cow","pup  calf","herd  pod school","&nbsp;"
"donkey","jack  jackass","jennet  jenny","colt  foal","drove  herd","{&nbsp;|asinine}"
"dove","cock","hen","squab  chick","dole  flight piteousness","&nbsp;"
"duck","drake","duck","duckling","badelynge brace bunch flock paddling raft team","&nbsp;"
"eagle","-","-","fledgling  eaglet","aerie  convocation","&nbsp;"
"echidna","-","-","puggle","-","&nbsp;"
"eel","-","-","leptocephalus (larva) elver  (juvenile)","swarm","&nbsp;"
"elephant","bull","cow","calf","herd  parade","elephantine"
"elk","bull","cow","calf","herd  gang","&nbsp;"
"falcon","tercel terzel","falcon","chick",".","&nbsp;"
"ferret","hob","jill","kit","business  fesynes","&nbsp;"
"fish","-","-","fry  fingerling","draft  run school shoal","&nbsp;"
"finch","cock","hen","chick","charm","&nbsp;"
"fly","-","-","maggot","cloud  swarm","&nbsp;"
"fox","reynard","vixen","kit  cub pup","skulk  leash","vulpine"
"frog","-","-","tadpole  polliwog froglet","army  knot","&nbsp;"
"gerbil","buck","doe","pup","horde","&nbsp;"
"giraffe","bull","doe","calf","herd  corps tower group","&nbsp;"
"gnat","male","female","larva","cloud  horde","&nbsp;"
"gnu","bull","cow","calf","herd","&nbsp;"
"goat","buck  billy","doe  nanny","kid  billy","herd  tribe trip","{&nbsp;|hirsine}"
"goose","gander","goose","gosling","flock  gaggle skein (only while in flight) wedge (flying in a &quot;v&quot;  formation)","&nbsp;"
"gorilla","male","female","infant","band","&nbsp;"
"grasshopper","male","female","nymph","swarm","&nbsp;"
"guinea pig","boar","sow","pup","group","&nbsp;"
"gull","cock","hen","chick","colony","&nbsp;"
"hamster","buck","doe","pup","horde","&nbsp;"
"hare","buck","doe","leveret","down  husk warren","lapine"
"hawk","tiercel","hen","eyas","aerie  cast","&nbsp;"
"hedgehog","boar","sow","piglet  pup","array","&nbsp;"
"heron","cock","hen","chick","sedge  siege","&nbsp;"
"hippopotamus","bull","cow","calf","herd  bloat","&nbsp;"
"hornet","male","female","larva","nest","&nbsp;"
"hog","boar","sow","shoat  farrow","drove  herd litter (a group of young born to one mother)","&nbsp;"
"horse","stallion  stud","mare  dam","foal  colt (male) filly (female)","stable  harras herd team (working horses) string or  field (race horses)","{&nbsp;|equine}"
"hound","dog","bitch","pup","cry  mute pack","canine"
"human","man","woman","baby  infant toddler","clan  (related) crowd family (closely related) community gang mob tribe etc.","&nbsp;"
"hummingbird","cock","hen","chick","charm","&nbsp;"
"hyena","male","female","cub","clan","canine"
"jay","cock","hen","chick","band  party","&nbsp;"
"jellyfish","-","-","ephyna","smack","&nbsp;"
"kangaroo","buck  boomer jack","doe  flyer jill roo","joey","troop  herd mob","&nbsp;"
"koala","male","female","joey","n/a","&nbsp;"
"leopard","leopard","leopardess","cub","leap  prowl (some say it should be a spot of leopards)","{&nbsp;|feline}"
"lion","lion","lioness","cub","pride","feline"
