"Link from a Wikipage to an external page","Wikipage revision ID","Wikipage page ID","label"
"http://www.apawomen.org/","680313132","47736377","Center for Asian Pacific American Women"
"","","","Center for Jewish Art"
"https://cashp.columbian.gwu.edu/","676341525","46437862","Center for the Advanced Study of Human Paleobiology"
"http://www.memorialdelashoah.org/index.php/en/","680361482","45690850","Centre de documentation juive contemporaine"
"http://cobap.org","675684997","46295619","Center on Business and Poverty"
"","683745665","47998169","Central Florida Jaguars"
"http://www.nios.ac.in/","683418681","47948234","Central Tibetan School Administration"
"http://www.csu.univ-montp2.fr","678896311","46509376","Centre Spatial Universitaire Montpellier-Nîmes (CSU)"
"http://ccs.ukzn.ac.za/","652961115","45656769","Centre for Civil Society (Durban)"
"http://www.centreforlondon.org","665637068","46580548","Centre for London"
"","","47366760","Centre for Metropolitan History"
"http://www.dev-out.cl/en","672534845","45707049","Centre for New Development Thinking"
"","679518720","47653934","Centre for Women's Development Studies"
"","","47710043","Centro Universitário de Brasília"
"http://www.centuryarms.biz","667274894","46836782","Century International Arms"
"","","","Cerdanyola del Vallès FC"
"http://www.chaartaar.com/fa/%D8%B5%D9%81%D8%AD%D9%87-%D9%86%D8%AE%D8%B3%D8%AA/","681913064","47870053","Chaartaar"
"","676309920","46789213","Chakde TV"
"http://www.cslusa.com","682251890","46192811","Champions Soccer League USA"
"","680203741","46368271","长郡中学"
