"Country","Language","Phone number","Service hours*)"
"United Kingdom","English","0870 240 8321","Mon-Fri 24-hour service"
"United States and Canada","English","408 938 6700","Mon-Fri 7-17"
"Asia/Pacific (Malaysia)","English","+60 3 7712 4605","Mon-Fri 24-hour service"
"Denmark","Danish","70 20 41 51","Mon-Fri 9-17"
"Finland","Finnish","09 8862 5050","Mon-Fri 8-18"
"France","French","0820 320 364","Mon-Fri 9-17"
"Germany","German","089 787 467 - 300","Mon-Fri 8-18"
"Hong Kong","Cantonese English","3071 4907","Mon-Fri 24-hour service"
"Japan","Japanese","045-440-6620","Mon-Fri 9.30-17.30"
"Norway","Norwegian","22 419 890","Mon-Fri 9-17"
"Sweden","Swedish","08 5074 4011","Mon-Fri 8-17"
"All other countries","English","+358 9 8862 5050","Mon-Fri 8-18 EET"
