"","","winter of:","winter of:","winter of:","winter of:","winter of:","number      ofwinterseach species occurred       1996-2006","year(s)of      occurence      for speciesnoted only pre-1996"
"birdspecies","2011/      2012","2010/      2011","2009/      2010","2008/      2009","2007/      2008","2006/      2007","number      ofwinterseach species occurred       1996-2006","year(s)of      occurence      for speciesnoted only pre-1996"
"red-throated loon","*x*","*x*","x","*x*","*x*","*x*","10",""
"pacificloon","","","","","","x","1",""
"common loon","*x*","*x*","x","*x*","*x*","*x*","10",""
"pied-billed grebe","*x*","x","x","*x*","x","x","10",""
"horned grebe","*x*","*x*","x","*x*","*x*","*x*","10",""
"earedgrebe","","","","","","","0","1992"
"red-necked grebe","*x*","*x*","x","*x*","*x*","*x*","10",""
"northern fulmar","x","x","x","x","x","*x*","10",""
"manxshearwater","","","","x","","","",""
"smallshearwatersp.","","","","","","","1",""
"cory'sshearwater","x","","","","","","",""
"great/cory's shearwater","","","","x","x","x","",""
"greatshearwater","x","","x","","","","7",""
"sootyshearwater","x","","","","x","","1",""
"leach's storm-petrel","","","","","","","3",""
"northern gannet","*x*","x","x","x","x","*x*","10",""
"brownpelican","","","","","","","3",""
"great cormorant","*x*","*x*","x","*x*","*x*","*x*","10",""
"double-crested cormorant","*x*","*x*","x","*x*","*x*","*x*","10",""
"magnificentfrigatebird","","","","","x","","",""
"american bittern","","x","x","x","","x","3",""
"great blue heron","*x*","*x*","x","*x*","*x*","*x*","10",""
"whiteegretsp.","","x","","","","","",""
"great egret","x","","","x","x","x","5",""
"snowyegret","","x","","","","","",""
"littleblueheron","","","","","","","2",""
"tricoloredheron","","","","","","","0","1975"
"cattleegret","","","","","","x","2",""
"greenheron","","","","x","","","0",""
"black-crowned night-heron","","","x","","","","3",""
"yellow-cr.night-heron","","","","","","","1",""
"glossyibis","","","","","","x","0",""
"black vulture","","","","*x*","x","x","4",""
"turkey vulture","*x*","*x*","x","*x*","*x*","*x*","10",""
"fulvouswhistling-duck","","","","","","","0","1976"
"greylaggoose","","*x*","","","","","0",""
"pink-footedgoose","x","x","","","","","1",""
"gr.white-fronted goose","x","x","","*x*","","","5",""
"canada goose","*x*","*x*","x","*x*","*x*","*x*","10",""
"cacklinggoose","x","x","","x","x","","2",""
"snow goose","x","x","x","*x*","*x*","x","5",""
"brant","*x*","*x*","x","*x*","*x*","*x*","10",""
"muteswan","","","","","","","2",""
"tundra swan","","x","","x","","","1",""
"trumpeterswan","","","","","","x","0",""
"wood duck","*x*","*x*","x","x","x","*x*","10",""
"green-winged teal","*x*","*x*","x","*x*","*x*","*x*","10",""
"eurasianteal","","*x*","","","","","1",""
"american black duck","*x*","*x*","x","*x*","*x*","*x*","10",""
"mallard","*x*","*x*","x","*x*","*x*","*x*","10",""
"northern pintail","*x*","*x*","x","*x*","*x*","*x*","10",""
"blue-winged teal","x","x","x","*x*","x","x","4",""
"northern shoveler","x","","x","x","*x*","*x*","10",""
"gadwall","*x*","*x*","x","*x*","*x*","*x*","10",""
"american wigeon","*x*","*x*","x","*x*","*x*","*x*","10",""
"eurasian wigeon","*x*","*x*","x","*x*","*x*","*x*","10",""
"canvasback","x","","","*x*","","x","4",""
"redhead","*x*","*x*","x","x","x","*x*","5",""
"ring-necked duck","*x*","*x*","x","*x*","*x*","*x*","10",""
"greater scaup","*x*","*x*","x","*x*","*x*","*x*","10",""
"lesser scaup","*x*","*x*","x","*x*","*x*","*x*","10",""
"tufted duck x scaup hybrid","x","","","","","","",""
"tufted duck","*x*","*x*","x","*x*","","x","10",""
"common eider","*x*","*x*","x","*x*","*x*","*x*","10",""
"king eider","x","x","x","*x*","","","7",""
"harlequin duck","*x*","*x*","x","*x*","*x*","*x*","10",""
"long-tailed duck","*x*","*x*","x","*x*","*x*","*x*","10",""
"black scoter","*x*","*x*","x","*x*","*x*","*x*","10",""
"surf scoter","*x*","*x*","x","*x*","*x*","*x*","10",""
"white-winged scoter","*x*","*x*","x","*x*","*x*","*x*","10",""
"common goldeneye","*x*","*x*","x","*x*","*x*","*x*","10",""
"barrow's goldeneye","*x*","*x*","x","*x*","*x*","*x*","10",""
"bufflehead","*x*","*x*","x","*x*","*x*","*x*","10",""
"hooded merganser","*x*","*x*","x","*x*","*x*","*x*","10",""
"common merganser","*x*","*x*","x","*x*","*x*","*x*","10",""
"red-breasted merganser","*x*","*x*","x","*x*","*x*","*x*","10",""
"ruddy duck","x","x","x","x","x","x","10",""
"osprey","","","","x","","","0",""
"bald eagle","*x*","*x*","x","*x*","*x*","*x*","10",""
"northern harrier","*x*","*x*","x","*x*","*x*","*x*","10",""
"sharp-shinned hawk","*x*","*x*","x","*x*","*x*","*x*","10",""
"cooper's hawk","x","","","*x*","x","*x*","7",""
"northern goshawk","*x*","*x*","x","*x*","*x*","*x*","10",""
"red-shouldered hawk","","","","","","","3",""
"broad-winged hawk","*x*","*x*","x","*x*","x","x","7",""
"red-tailed hawk","*x*","*x*","x","*x*","*x*","*x*","10",""
"rough-legged hawk","*x*","*x*","x","*x*","*x*","*x*","10",""
"goldeneagle","","x","","","*x*","","6",""
"eurasiankestrel","","","","","","","0","1988"
"american kestrel","*x*","*x*","x","*x*","*x*","*x*","10",""
"merlin","*x*","*x*","x","*x*","*x*","*x*","10",""
"gyrfalcon","","x","x","x","x","*x*","7",""
"peregrine falcon","*x*","*x*","x","*x*","*x*","*x*","10",""
"gray partridge","","","x","*x*","*x*","*x*","10",""
"ring-necked pheasant","*x*","*x*","x","*x*","*x*","*x*","10",""
"spruce grouse","*x*","x","x","*x*","*x*","*x*","10",""
"willowptarmigan","","","","","","","0","1969"
"ruffed grouse","*x*","*x*","x","*x*","*x*","*x*","10",""
"purple gallinule","","","","","","","1",""
"commongallinule","*x*","","","","","","0","1980"
"american coot","*x*","*x*","x","*x*","*x*","*x*","10",""
"sandhill crane","*x*","*x*","x","","x","*x*","2",""
"yellowrail","","","","","","","0","1904&amp;&nbsp;1966"
"clapperrail","","","","","","","0","5records"
"virginiarail","","","","x","x","","2",""
"sora","","x","","x","","","0",""
"americanavocet","","","","","","","0",""
"northernlapwing","","x","","","","","0","8records"
"black-bellied plover","*x*","*x*","x","*x*","*x*","*x*","10",""
"americangolden-plover","","","","","","x","0",""
"semipalmated plover","","","","x","","","2",""
"killdeer","*x*","*x*","x","*x*","x","*x*","10",""
"greater yellowlegs","x","*x*","x","x","","x","8",""
"lesser yellowlegs","x","","","x","","x","8",""
"willet","","","","","x","","2",""
"spottedsandpiper","","","x","","","","1",""
"whimbrel","","","","","","","1",""
"uplandsandpiper","","","","","","","2",""
"marbledgodwit","","","","","","","1",""
"bar-tailedgodwit","","","","","","","1",""
"ruddy turnstone","*x*","*x*","x","x","x","*x*","10",""
"red knot","*x*","*x*","","x","x","*x*","10",""
"sanderling","*x*","*x*","x","*x*","*x*","*x*","10",""
"semi/western sandpiper","","","","x","","x","9",""
"leastsandpiper","","","","","","","0","1976"
"baird'ssandpiper","","","","","","","1",""
"white-rumpedsandpiper","","","x","","","x","10",""
"pectoralsandpiper","","x","","","","","0","1979"
"purple sandpiper","*x*","*x*","x","*x*","*x*","*x*","10",""
"stiltsandpiper","","","","","","","1",""
"dunlin","*x*","*x*","x","*x*","*x*","*x*","10",""
"ruff","","","","","","","1",""
"short-billed dowitcher","","","","","","x","2",""
"long-billed dowitcher","*x*","","x","x","","x","4",""
"wilson's snipe","x","*x*","x","*x*","*x*","x","10",""
"american woodcock","","*x*","x","x","x","*x*","10",""
"red-neckedphalarope","","","x","","","","0",""
"red phalarope","","","","","","","2",""
"great skua","x","","","","","","1",""
"pomarine jaeger","x","","x","","","x","4",""
"parasitic jaeger","","","x","","","","4",""
"jaegersp.","","x","","","","","0",""
"laughinggull","","x","","x","","","3",""
"franklin'sgull","","","","","","","0","1991"
"littlegull","","x","x","","","x","4",""
"black-headed gull","*x*","*x*","x","*x*","*x*","*x*","10",""
"bonaparte's gull","*x*","*x*","x","*x*","*x*","*x*","10",""
"ring-billed gull","*x*","*x*","x","*x*","*x*","*x*","10",""
"mew (common) gull","x","*x*","x","*x*","*x*","*x*","10",""
"herring gull","*x*","*x*","x","*x*","*x*","*x*","10",""
"iceland gull","*x*","*x*","x","*x*","*x*","*x*","10",""
"thayer's gull","","","x","","x","","7",""
"lesser black-backed gull","*x*","*x*","x","*x*","*x*","*x*","10",""
"glaucous gull","*x*","*x*","x","*x*","*x*","*x*","10",""
"great black-backed gull","*x*","*x*","x","*x*","*x*","*x*","10",""
"slaty-backedgull","","","","","","","1",""
"sabine'sgull","","","","","","","0","1977&nbsp;&amp;1978"
"ivory gull","","","","*x*","x","","5",""
"ross'sgull","","","","","","","0","1995"
"black-legged kittiwake","*x*","x","x","x","x","*x*","10",""
"largeternspecies","","","","","","","1",""
"caspiantern","","","","","","","1",""
"ternspecies","x","","","","x","","-",""
"commontern","","","","","","x","1",""
"forster's tern","","","","*x*","","x","5",""
"blacktern","","","","","","","0","1966"
"blackskimmer","","","","","","","1",""
"dovekie","*x*","*x*","x","*x*","*x*","*x*","10",""
"common murre","x","x","x","*x*","*x*","*x*","10",""
"thick-billed murre","x","*x*","x","*x*","*x*","*x*","10",""
"razorbill","*x*","x","x","*x*","*x*","*x*","10",""
