"Country","Language","Broadcasters"
"Angola","English","Supersport"
"Argentina","Spanish","Fox Sports Latin AmericaESPN Latin America"
"Australia","English","Fox Sports"
"Azerbaijan","Azeri","Idman TV"
"Bangladesh","English","ESPN Star Sports"
"Bhutan","English","ESPN Star Sports"
"Brazil","Portuguese","ESPN Brasil"
"Brunei","English","ESPN Star Sports"
"Canada","English","TSN2Rogers SportsnetRogers Sportsnet OneSetanta Sports (Canada)"
"Canada","French","RDS"
"Georgia","Georgian","GMGOfficial website"
"Ghana","English","GTV Sports +Supersport"
"Hong Kong","Cantonese/English","Cable TV Hong Kong"
"India","English","ESPN Star Sports"
"Indonesia","English","ESPN Star SportsMNC TVGlobal TVIndovision"
"Iran","Persian/English","Iran TV3Orbit Showtime Network"
"Israel","Hebrew/English","Sport 1Sport 2"
"Japan","Japanese/English","J SportsNHK"
"Kazakhstan","Kazakh/Russian","KZ Sport 1"
"Laos","English","ESPN Star Sports"
"Macau","Cantonese/English","TDMMacau Cable TV"
"Malaysia","English/Malay","ESPN Star SportsAstro SuperSport 3"
"Maldives","English","ESPN Star Sports"
"Mexico","Spanish","Fox Sports Latin AmericaESPN Latin America"
"Morocco","Arabic","Orbit Showtime Network"
"Mozambique","English/Portuguese","TV MozambiqueSupersport"
"Nepal","English","ESPN Star Sports"
"New Zealand","English","Sky Sport"
"Nigeria","English","Hi SportsSupersport"
"Norway","English/Norwegian","TV2"
"Pakistan","English","ESPN Star Sports"
"People's Republic of China","ChineseCantoneseMandarinMandarin/English","WinTVRedistributed to:Guangdong Sports Channel/Guangzhou Sports ChannelJSportsGreatsports Channeland other local networksSohuSinaQQand other online media"
"Philippines","EnglishTagalog","ESPN Star SportsAKTV/IBC"
"Singapore","English","mio TV(Mio Stadium)"
"South Africa","English/Afrikaans","Supersport"
"South Korea","Korean","SBS Sports"
"Sri Lanka","English","ESPN Star Sports"
"Taiwan","Chinese","ESPN Star Sports"
"Thailand","Thai","TrueVisions"
"UAE","Arabic/English","Abu Dhabi Sports Channel(inHD)"
"United Kingdom","English","Sky SportsESPN UKBBC Sport(Highlights only)"
"United States","English","Fox Soccer ChannelFox Soccer PlusESPN2FoxSoccer.tv (online pay)ESPN3.com(online)"
"United States","Spanish","Fox Sports en Espa?olESPN Deportes"
"Vietnam","EnglishVietnamese","ESPN STAR SportsVTC"
