"Country","DIRECT CORRESPONDENT BANKS","CITY","CURRENCY","SWIFT","ABA/FED WIRE(*)"
"GERMANY","Commerzbank AG","FRANKFURT","USD-Euro","COBADEFF","&nbsp;"
"GERMANY","Deutsche Bank    AG","FRANKFURT","Euro","DEUTDEFF","&nbsp;"
"GERMANY","Standard Chartered Bank (Germany) GMBH","FRANKFURT","Euro","SCBLDEFX","&nbsp;"
"CANADA","Royal Bank    of Canada","TORONTO","USD","ROYCCAT2","&nbsp;"
"SPAIN","Banco Santander S.A.","MADRID","USD-Euro","BSCHESMM","&nbsp;"
"SPAIN","BBVA Banco Bilbao Vizcaya    Argentaria S.A.","MADRID","USD-Euro","BBVAESMM","&nbsp;"
"SPAIN","Caja de Ahorros y Pensiones    de Barcelona &quot;La Caixa&quot;","BARCELONA","USD","CAIXESBB","&nbsp;"
"JAPAN","Bank of Tokyo-Mitsubishi UFJ Ltd.","TOKYO","USD","BOTKJPJT","&nbsp;"
"PANAMA","Banco Internacional&nbsp;    de&nbsp;Costa Rica S.A.","PANAMA","USD","COSRPAPA","&nbsp;"
"SWITZERLAND","UBS AG","ZURICH","USD","UBSWCHZH80A","&nbsp;"
"USA","Banco Internacional&nbsp;de    Costa Rica Miami Agency","MIAMI","USD","COSRUS3M","066011567"
"USA","Bank of America N.A.","MIAMI","USD","BOFAUS3M","026009593"
"USA","Bank    of China","NEW YORK","USD","BKCHUS33","026003269"
"USA","Citibank N.A.","NEW YORK","USD","CITIUS33","021000089"
"USA","Deutsche Bank Trust Co. Americas","NEW YORK","USD","BKTRUS33","021001033"
"USA","HSBC BANK USA","NEW YORK","USD","MRMDUS33","021001088"
"USA","JPMORGAN Chase Bank N.A.","NEW YORK","USD","CHASUS33","021000021"
"USA","Standard Chartered Bank","NEW YORK","USD","SCBLUS33","026002561"
"USA","The Bank of New York Mellon","NEW YORK","USD","IRVTUS3N","021000018"
"USA","Wells Fargo Bank N.A.","NEW YORK","USD","PNBPUS3NNYC","026005092"
