"Language","Difficulty","Popularity","Official language"
"Mandarin Chinese","5 out of 5","1.051 billion speakers","People's Republic of China Republic of China Singapore"
"English","2 out of 5","510 million speakers","Antigua and Barbuda Australia The Bahamas Bangladesh Barbados Belize Botswana Brunei Cameroon Canada Dominica Ethiopia Eritrea Fiji The Gambia Ghana Grenada Guyana Hong Kong (People's Republic of China) India Ireland Jamaica Kenya Kiribati Lesotho Liberia Malawi Maldives Malta Marshall Islands Maritius Micronesia Namibia Nauru New Zealand Nigeria Pakistan Palau Papua New Guinea Philippines Rwanda Saint Kitts and Nevs Saint Lucia Saint Vincent and the Grenadines Samoa Seychelles Sierra Leone Singapore Solomon Islands Somolia South Africa Sri Lanka Swaziland Tanzania Tonga Trinidad and Tobago Tuvalu Uganda United Kingdom United States Vanuatu Zambia Zimbabwe."
"Hindi","3 out of 5","490 million speakers","India Fiji"
"Spanish","2 out of 5","420 million speakers","Argentina Bolivia Chile Colombia Costa Rica Cuba Dominican Republic Ecuador El Salvador Equatorial Guinea Guatemala Honduras Mexico Nicaragua Panama Paraguay Peru Spain United States (New Mexico Puerto Rico Uruguay Venezuela"
"Arabic","5 out of 5","255 million speakers","Modern Standard Arabic: Algeria Bahrain Chad Comoros Djibouti Egypt Eritrea Iraq Israel Jordan Kuwait Lebanon Libya Morocco Niger Oman Palestinian Territories Quatar Saudi Arabia Somalia Sudan Syria Tunisia United Arab Emirates Western Sahara Yemen.   Hasaniya Arabic: Mauritania Senegal."
"Russian","4 out of 5","255 million speakers","Abkhazia (part of Georgia) Belarus Kazakhstan Kyyrgyzstan Russia Transnistria (part of Moldova)."
"German","3 out of 5","229 million speakers","Austria Belgium Germany Italy (South Tyrol) Liechtenstein Luxembourg Poland Siwtzerland"
"Bangali","3 out of 5","215 million speakers","Bangladesh India&nbsp;"
"Portuguese","2 out of 5","213 million speakers","Angola Brazil Cape Verde East Timor Guinea-Bissau Macau (People's Republic of China) Mozambique Portugal S&atilde;o Tom&eacute; e Pr&iacute;ncipe."
"French","3 out of 5","130 million speakers","Belgium Benin Burkina Faso Burundi Cameroon Canada Central African Republic Chad Comoros Congo-Brazzaville Congo-Kinshasa C&ocirc;te d'Ivoire Djibouti Equatorial Guinea France French Polynesia Gabon Guernsey Guinea Haiti India (Karikal Pondicherry) Italy Jersey Lebanon Luxembourg Madagascar Mali Martinique Mauritius Mayotte Monaco New Caledonia Niger Rwanda Senegal Seychelles Switzerland Togo United States (Louisiana) Vanuatu"
"Japanese","5 out of 5","127 million speakers","Japan Palau"
"Urdu","3 out of 5","104 million speakers","India Pakistan"
"Oriya","out of 5","32 million speakers","India"
