"Link from a Wikipage to an external page","Wikipage page ID","label","Wikipage revision ID"
"http://www.antell-md.com","46271193","Darrick E. Antell","668834519"
"","","Darryl Kubian",""
"","","Намдаков, Даши Бальжанович",""
"","","Dasoul",""
"","","Dave Bass",""
"","","Dave Cobb",""
"","46188432","Dave Green","675426369"
"","","Dave Johns",""
"","","Dave Moreno",""
"","","Dave Pinto",""
"","","Dave Rothenberg",""
"","","Dave Umahi",""
"","","Dave Wallace (Arkansas politician)",""
"","","Dave Wright (American writer)",""
"","","David Bowles (author)",""
"","","David Bronson (musician)",""
"","","David Bruck",""
"","","David Camorlinga Tagle",""
"","","David Campany",""
"","","David Chung (artist)",""
