"id","producto de inter&eacute;s","consumo","ubicaci&oacute;n","puesto","observaciones"
"306861","compra de alfamilasa fungal 5000 ckb","150 kilogramossemestral","comprador de alfamilasa fungal 5000 ckb en portuguesa venezuela","gerente de produccion","la misma se utilizar&aacute; en la refinaci&oacute;n de az&uacute;car moscabado.                      ver detalle         mensaje al comprador"
"344256","compra de alfamilasa fungal 5000 ckb","100 kilogramossemestral","comprador de alfamilasa fungal 5000 ckb en central paraguay","gerente","farmac&eacute;utico (antiinflamatorio en comprimidos y jarabe)                      ver detalle         mensaje al comprador"
"93943","compra de xilanasa-pentoxanasa-glucosaoxidasa-fosfolipasa-alfamilasa","25 kilogramosmensual","comprador de xilanasa-pentoxanasa-glucosaoxidasa-fosfolipasa-alfamilasa en antioquia colombia","1","para elaborar nuestros productos de panificacion                      ver detalle         mensaje al comprador"
"65179","compra de proteasa fungal","1 kilogramospara pruebas","comprador de proteasa fungal en san luis potosi m&eacute;xico","administrador","solicito atentamente informaci&oacute;n de estos productos presentaci&oacute;n modo de empleo ...                      ver detalle         mensaje al comprador"
"275433","compra de proteasa fungal","1 kilogramospara pruebas","comprador de proteasa fungal en san fenando argentina","comprador","ensayos en laboratorio aplicaci&oacute;n lacteos                      ver detalle         mensaje al comprador"
"154687","compra de alfa amilasa fungal","25 piezasdiario","comprador de alfa amilasa fungal en atlantico colombia","instructor de panaderia","como utilizo el alfaamilasa fungal                      ver detalle         mensaje al comprador"
"252793","compra de alfa amilasa fungal","1 kilogramos&uacute;nica vez","comprador de alfa amilasa fungal en bioquimica m&eacute;xico","laboratoiro","que complementa la actividad diast&aacute;sica de las harinas de trigo y mejora las car                      ver detalle         mensaje al comprador"
"370106","compra de fungal proteasa 500000","10 kilogramostrimestral","comprador de fungal proteasa 500000 en nuevo leon m&eacute;xico","r&amp;d","d&oacute;sis de aplicaci&oacute;n sobre que productos actua forma de actuaci&oacute;n y si se puede sustituir ...                      ver detalle         mensaje al comprador"
"8533","compra de alfa amilasa fungal  enzimas","600 kilogramosanual","comprador de alfa amilasa fungal enzimas en edo mex m&eacute;xico","trainee","ver detalle         mensaje al comprador"
"531539","compra de alfa amilasa fungal que se aplica en la producci&oacute;n de jarabes con alto contenido de maltosa","120 onzaspara pruebas","comprador de alfa amilasa fungal que se aplica en la producci&oacute;n de jarabes con alto contenido de maltosa  en atlantico colombia","aprendiz","queremos conocerla para saber cual es su utilizacion                      ver detalle         mensaje al comprador"
