"label","Wikipage page ID"
"Welter (publication)","47861213"
"What's So Amazing About Grace?",""
"Winter of the Metal People","47369811"
"Woman's Art Journal",""
"Woman's Era","47961805"
"Women's History Review",""
"Women's Studies International Forum","45709556"
"X (Grafton novel)","46514478"
"You Deserve a Drink (book)","46904484"
"You and Me Forever (book)","46690316"
"ヤング ブラック・ジャック (漫画)","47030250"
"Zoosystematics and Evolution",""
"Zürcher Unterländer",""
"Świat Nieruchomości",""
"AIDS and Behavior","45622953"
"Act of War (Brad Thor novel)","47146848"
"Adult Learning","45498712"
"Advances in Nutrition","47526977"
"Aggression and Violent Behavior","47275232"
"All the Bright Places","47608975"
