"label","Geburtsdatum","Geburtsort","birth place"
"Dasha Fuentes","","http://dbpedia.org/resource/Florida",""
"Despina Montagas","1961-06-09","http://dbpedia.org/resource/Athens","http://dbpedia.org/resource/Athens"
"Firpo Segura","","",""
"Groon XXX","","http://dbpedia.org/resource/Baja_California",""
"Liam Slater","1993-10-07","",""
"Marcin Jurecki","","",""
"Matt Myers (Wrestler)","1991-06-16","",""
"Nat Turner (wrestler)","","",""
"Ranjin Singh (wrestling)","","",""
"Tony Rivera","","http://dbpedia.org/resource/Baja_California",""
"Will Ferrara","","http://dbpedia.org/resource/New_York","http://dbpedia.org/resource/New_York"
""Dr. Death" Steve Williams","","",""
