"Corporation","Ticker","Industry"
"Alexander &amp; Baldwin Inc.","ALEX","marine transportation"
"Alaska Air Group","ALK","airlines"
"C.H. Robinson Worldwide Inc.","CHRW","trucking"
"Con-Way Inc.","CNW","trucking"
"CSX Corp.","CSX","railroads"
"Delta Air Lines.","DAL","airlines"
"Expeditors International","EXPD","delivery services"
"FedEx Corporation","FDX","delivery services"
"GATX Corp.","GMT","business support services"
"JB Hunt Transport Services Inc.","JBHT","trucking"
"JetBlue Airways Corp.","JBLU","airlines"
"Kansas City Southern","KSU","railroads"
"Landstar System Inc.","LSTR","trucking"
"Norfolk Southern Corp.","NSC","railroads"
"Overseas Shipholding Group Inc.","OSG","marine transportation"
"Ryder System Inc.","R","transportation services"
"Southwest Airlines Inc.","LUV","airlines"
"United Continental Holdings","UAL","airlines"
"Union Pacific Corp.","UNP","railroads"
"United Parcel Service Inc.","UPS","delivery services"
