"Wikipage page ID","Wikipage redirect","Wikipage revision ID","label"
"38848509","http://dbpedia.org/resource/Abdulpur_railway_station","545205997","Abdulpur"
"","","","Abdulwadamai"
"","","","Abdur Rahman Khel"
"","","","Abdusamat"
"","","","Abdykalyk"
"","","","Abe River"
"","","","Abegong"
"","","","Abercrombie River"
"","","","Aberdare, New South Wales"
"","","","Aberdeen, Eastern Cape"
"","","","Aberdeen, Hong Kong"
"","","","Aberdeen, New South Wales"
"","","","Aberfeldy, Victoria"
"","","","Aberfoyle River"
"","","","Aberglasslyn, New South Wales"
"","","","Abermain, New South Wales"
"","","","Abernethy, New South Wales"
"","","","Abeuk"
"","","","Abhanpur"
"","","","Abhaynagar Upazila"
