"Geburtsort","birth place","label","Geburtsdatum"
"http://dbpedia.org/resource/Camagüey","http://dbpedia.org/resource/Camagüey","Jorge Gutiérrez (boxer)","1975-09-18"
"","","Kenneth Gould",""
"","","Marios Kaperonis",""
"","","Petar Lesov",""
"","","Otis Grant",""
"","","Osmay Acosta",""
"","","Abdelaziz Touilbini",""
"","","عبد الحفيظ بن شبلة",""
"","","Olexandr Stretskyy",""
"","","Diwakar Prasad",""
"","","Kim Won-il (boxer)","1982-01-03"
"","","Pichai Sayotha",""
"","","Andreas Zülow",""
"","","Luis Román Rolón",""
"","","Maksym Tretyak",""
"","","Robert Carmody",""
"","","Angus Shelford",""
"","","Billy Ward (Boxer)",""
