"next","Wikipage page ID","label","genre","Wikipage revision ID","Link from a Wikipage to an external page","country"
"2016","47891374","2015 Mr. Olympia","Professional bodybuilding competition","682493897","http://mrolympia.com/mr-olympia","United States"
"","47796245","2015 Wings of Strength Rising Phoenix World Championships","","680741468","http://www.wingsofstrength.net/RISING-PHOENIX.aspx",""
"","47796748","2016 Wings of Strength Rising Phoenix World Championships","","680763422","",""
"","47713863","Al-Balad Music Festival","","679356508","http://www.albaladmusicfestival.org/Contents/About.aspx",""
"","46517624","Bergenfest","","","",""
"","47030069","Международный симпозиум современного искусства Бирючий","","682232605","",""
"","46507314","Bodø Jazz Open","","675961200","",""
"","47724745","Busan International Comedy Festival","","","",""
"","47781239","EB Games Expo 2015","","683699785","http://ebexpo.com.au/",""
"","46565454","EduTECH (conference)","","677953447","http://www.edutech.net.au",""
"","47751495","Expomanga","","680654661","http://www.expocomic.com",""
"","46529345","FDIC International","","666471779","http://www.fdic.com",""
"","47380254","FallCon","","675711149","http://www.FallCon.com/",""
"","47035602","Festival du Rhum Haiti","","678126196","http://www.lefestivaldurhum-haiti.com/",""
"","46293707","FlightSimCon","","681715428","http://www.flightsimcon.com/",""
"","","Glass City Con","","","",""
"","46426361","Glastonbury Festival 2015","","681299411","http://www.glastonburyfestivals.co.uk",""
"","47653622","Great Northern Exhibition","Agricultural and entertainment","678308093","http://www.greatnorthernex.com/",""
"","46615862","Ice Music Festival","","672384051","http://www.icemusicfestival.no",""
"","46744046","Jeffersontown Gaslight Festival","","681557398","http://www.jtownchamber.com/gaslightfestival.aspx",""
