"birth place","label","Geburtsort"
"http://dbpedia.org/resource/Cleveland","Ed Montgomery (musician)","http://dbpedia.org/resource/Cleveland"
"http://dbpedia.org/resource/New_Jersey","Ed Murphy","http://dbpedia.org/resource/New_Jersey"
"http://dbpedia.org/resource/Washington,_D.C.","Ed Potillo","http://dbpedia.org/resource/Washington,_D.C."
"","Ed Yong",""
"Pittsburgh, Pennsylvania, United States","Eddie Barnz","http://dbpedia.org/resource/Pittsburgh"
"http://dbpedia.org/resource/Tarrant_County,_Texas","Eddie Kirkland (Christian musician)","http://dbpedia.org/resource/Tarrant_County,_Texas"
"","Eden Stiles","http://dbpedia.org/resource/United_States"
"","Edgar Moron","http://dbpedia.org/resource/Poland"
"","Edgars Briedis","http://dbpedia.org/resource/Valmiera"
"","Edijs Jurēvics","http://dbpedia.org/resource/Jelgava"
"Perpignan, France","Edith Crash","http://dbpedia.org/resource/Perpignan"
"","Edmund Daser","http://dbpedia.org/resource/Augsburg"
"","Григорян, Эдуард Григорьевич",""
"Pomona, California, United States","Edward Colver","http://dbpedia.org/resource/California"
"http://dbpedia.org/resource/Suffolk","Edward Kluz","http://dbpedia.org/resource/Suffolk"
"http://dbpedia.org/resource/Carlyle,_Illinois","Edwin Ramsey",""
"http://dbpedia.org/resource/United_States","Effie Brown","http://dbpedia.org/resource/United_States"
"http://dbpedia.org/resource/St._Louis","Eileen Dreyer","http://dbpedia.org/resource/St._Louis"
"Montevideo, Uruguay","Elbio Álvarez","http://dbpedia.org/resource/Montevideo"
"","Eleanor Palmer",""
