"Wikipage revision ID","language","label","country","Wikipage page ID"
"677832613","English","Eileen (novel)","United States","47608008"
"679455828","","Elsewhere and Elsewhen","http://dbpedia.org/resource/United_States","47721188"
"681271668","","Elu rottigalu","http://dbpedia.org/resource/India","47676813"
"682905211","","Encounters at the Heart of the World","","47654988"
"680810535","","Engines of War (Doctor Who)","","47798823"
"677040536","","Evolution, Mind and Behaviour","","47564037"
"680080322","","Exceptional: Why the World Needs a Powerful America","","47705320"
"673838017","","法言","","47377996"
"680252184","","Fifty Short Science Fiction Tales","","47768319"
"680515218","","Flight from the USSR","","47381260"
"677411241","","Galactic Sibyl Sue Blue","http://dbpedia.org/resource/United_States","47581591"
"","","","",""
"679985296","","Gambling (play)","","47394119"
"681931120","","Garden Spells","USA","47571803"
"675679545","","Gibraltar Chronicle Weekly","","47328831"
"679037838","English","Girl, Stolen","America","47676969"
"","","Giwi Shaduri","",""
"673261072","","Good Morning Althea","","47350678"
"680032406","http://dbpedia.org/resource/Russian_language","Grandfather (poem)","http://dbpedia.org/resource/Russian_Empire","47754976"
"683446340","","Green on Blue","","47779748"
