"label","Geburtsort"
"Fiorenza Calogero","http://dbpedia.org/resource/Castellammare_di_Stabia,_Naples"
"Flavio Raffo","http://dbpedia.org/resource/Italy"
"Flor Minor","http://dbpedia.org/resource/Querétaro,_Querétaro"
"Florian Opahle","http://dbpedia.org/resource/Rosenheim"
"Flyer (wrestler)","http://dbpedia.org/resource/Monclova"
"Fola Daniel Adelesi","http://dbpedia.org/resource/Lagos_State"
"Folkenstal","http://dbpedia.org/resource/Switzerland"
"France D'Amour",""
"Francesca Cipriani","http://dbpedia.org/resource/Guayas_Province"
"Francescantonio Nolè","http://dbpedia.org/resource/Potenza"
"Francesco Maria Scala",""
"Francesco Piemontesi","http://dbpedia.org/resource/Locarno"
"Frank De Wulf",""
"Frank Fu","http://dbpedia.org/resource/Inner_Mongolia"
"Frank Lisciandro",""
"Frank Sumner Dodge","http://dbpedia.org/resource/Boston"
"Frank Wall (Australian politician)",""
"Frank and John Craighead",""
"Frankie Thomas (cyclist)","http://dbpedia.org/resource/Bendigo"
"Franklin Loufrani",""
