"NULL","augustus","augustus","27bc - 14ad","1 coin available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;livia","augusta","27bc - 29ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;agrippa","imperial family member","27bc - 12bc","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;germanicus","imperial family member","20bc - 20ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;antonia","imperial family member","27bc - 37ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;gaius caesar","imperial family member","6bc - 4ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;agrippina i","imperial family member","14ad - 33ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;nero drusus","imperial family member","15bc - 9bc","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;drusus","imperial family member","14ad - 23ad","0 coins available"
"NULL","tiberius","augustus","14ad - 37ad","0 coins available"
"NULL","caligula","augustus","37ad - 41ad","0 coins available"
"NULL","claudius","augustus","41ad - 54ad","1 coin available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;messalina","augusta","41ad - 45ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;agrippina ii","augusta","49ad - 59ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;britannicus","imperial family member","42ad - 55ad","0 coins available"
"NULL","nero","augustus","54ad - 68ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;octavia","augusta","53ad - 62ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;poppaea","augusta","62ad - 65ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;claudia","imperial family member","63ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;clodius macer","usurper","68ad","0 coins available"
"NULL","galba","augustus","68ad - 69ad","0 coins available"
"NULL","otho","augustus","69ad","0 coins available"
"NULL","vitellius","augustus","69ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;lucius vitellius","imperial family member","68ad","0 coins available"
"NULL","vespasian","augustus","69ad - 79ad","2 coins available"
"NULL","titus","augustus","79ad - 81ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;julia titi","imperial family member","84ad - 90ad","0 coins available"
"NULL","domitian","augustus","81ad - 96ad","4 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;domitia","augusta","82ad - 96ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;domitilla","imperial family member","69ad - 79ad","0 coins available"
"NULL","nerva","augustus","96ad - 98ad","0 coins available"
"NULL","trajan","augustus","98ad - 117ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;plotina","augusta","98ad - 117ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;marciana","imperial family member","98ad - 114ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;matidia","imperial family member","98ad - 120ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;trajan pater","imperial family member","98ad - 117ad","0 coins available"
"NULL","hadrian","augustus","117ad - 138ad","4 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;sabina","augusta","117ad - 137ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;aelius","caesar","136ad - 138ad","0 coins available"
"NULL","antoninus pius","augustus","138ad - 161ad","1 coin available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;faustina i","augusta","138ad - 141ad","0 coins available"
"NULL","marcus aurelius","augustus","161ad - 181ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;faustina ii","augusta","161ad - 176ad","1 coin available"
"NULL","lucius verus","augustus","161ad - 169ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;lucilla","augusta","164ad - 182ad","0 coins available"
"NULL","commodus","augustus","180ad - 192ad","2 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;crispina","augusta","177ad - 185ad","0 coins available"
"NULL","pertinax","augustus","192ad - 193ad","0 coins available"
"NULL","didius julianus","augustus","193ad","0 coins available"
